job_id,method,rescued,swept_step,step_size,normalized_step_size,grid_dimension,grid_condition,grid_rho,grid_batch_size,terminal_floor
J_minibatch_floor_B1_smoke,FR--KL--STL,False,False,0.04,0.04,8,10.0,0.5,1,0.07148439451273544
J_minibatch_floor_B1_smoke,FR--KL--STL,True,False,0.04,0.04,8,10.0,0.5,1,0.01039982099377605
J_minibatch_floor_B1_smoke,FR--R--STL,False,False,0.04,0.04,8,10.0,0.5,1,0.06486463015285165
J_minibatch_floor_B1_smoke,FR--R--STL,True,False,0.04,0.04,8,10.0,0.5,1,0.01035156623808925
J_minibatch_floor_B1_smoke,S--FB--GVI,False,False,0.02,0.02,8,10.0,0.5,1,0.17779924226219945
J_minibatch_floor_B8_smoke,FR--KL--STL,False,False,0.04,0.04,8,10.0,0.5,8,0.0764529514612555
J_minibatch_floor_B8_smoke,FR--KL--STL,True,False,0.04,0.04,8,10.0,0.5,8,0.0048883743635212504
J_minibatch_floor_B8_smoke,FR--R--STL,False,False,0.04,0.04,8,10.0,0.5,8,0.068951070426056
J_minibatch_floor_B8_smoke,FR--R--STL,True,False,0.04,0.04,8,10.0,0.5,8,0.0044142103221511
J_minibatch_floor_B8_smoke,S--FB--GVI,False,False,0.02,0.02,8,10.0,0.5,8,0.17699564225243547
