method,fitted,predicted,rho
FR--KL,2.0231586750369854,1.9504119002383808,0.001
FR--R,2.0517964068440864,2.050458160821372,0.001
FR--KL,2.015150602468013,1.9486052058317933,0.01
FR--R,2.0520720261400336,2.047255661064952,0.01
FR--KL,2.0116328505358343,1.9362421495437487,0.05
FR--R,2.04526564132592,2.0301168443912667,0.05
FR--KL,1.9621385624944805,1.920455733820103,0.1
FR--R,2.0273809053923113,2.0102216243292346,0.1
FR--KL,1.8113739963841404,1.810587395697904,0.5
FR--R,1.8927867329956034,1.889594610204535,0.5
FR--KL,1.7351029698983922,1.7347859021601322,1.0
FR--R,1.8115673301616213,1.811196499704341,1.0
FR--KL,1.6917650178290182,1.691648156054685,2.0
FR--R,1.7689094446727138,1.768789104134723,2.0
FR--KL,2.007547887816787,1.9506339073432848,0.001
FR--R,2.051624430425345,2.0506614101785603,0.001
FR--KL,2.0208383690048706,1.947770508981788,0.01
FR--R,2.051234321514761,2.0471144590146872,0.01
FR--KL,1.9577853048391056,1.934316812512975,0.05
FR--R,2.037907199961366,2.0301554009700715,0.05
FR--KL,1.9875749517388408,1.9175731709188493,0.1
FR--R,2.0540366167545554,2.010022637418302,0.1
FR--KL,1.829388066837751,1.8106576720516,0.5
FR--R,1.956809781300788,1.8896376262938368,0.5
FR--KL,1.7392667010539544,1.7346816014288806,1.0
FR--R,1.8176398072038216,1.8111021737430848,1.0
FR--KL,1.6967177527340491,1.691689943294246,2.0
FR--R,1.775320883735403,1.768851954746134,2.0
FR--KL,1.9937600290946602,1.94968075967388,0.001
FR--R,2.051752237730151,2.0496855857643648,0.001
FR--KL,2.0069336742377524,1.9469720220248985,0.01
FR--R,2.051720992351745,2.046314598649662,0.01
FR--KL,1.9541419569393321,1.9341322681746635,0.05
FR--R,2.0471564787387395,2.0300552828392915,0.05
FR--KL,2.002561273152257,1.9166444184629172,0.1
FR--R,2.0450217491198273,2.0099680872392334,0.1
FR--KL,1.8184141203013358,1.8102674745562235,0.5
FR--R,1.9091076470633142,1.8893555503633368,0.5
FR--KL,1.7412086681543748,1.735028152031956,1.0
FR--R,1.820191390242427,1.8114884278408572,1.0
FR--KL,1.6990258828792266,1.6917094703792317,2.0
FR--R,1.7781419511518743,1.7689061591816175,2.0
