job_id,omega,tau,dimension,step_size,predicted_traceless_rate,fitted_traceless_rate,predicted_trace_rate,fitted_trace_rate
M_affine_metric_d10_h0.005,0.25,-0.0125,10,0.005,2.0,2.0100724470765523,4.0,4.040628373110817
M_affine_metric_d10_h0.005,0.25,0.0,10,0.005,2.0,2.0100783599014638,2.0,2.0100777760229014
M_affine_metric_d10_h0.005,0.25,0.025,10,0.005,2.0,2.0100892736629428,1.0,1.0025181883527254
M_affine_metric_d10_h0.005,0.25,0.1,10,0.005,2.0,2.0101069982807327,0.4,0.4004089515815856
M_affine_metric_d10_h0.005,0.5,-0.025,10,0.005,1.0,1.0025170766330356,2.0,2.0101046789333448
M_affine_metric_d10_h0.005,0.5,0.0,10,0.005,1.0,1.002523429368642,1.0,1.002522683599372
M_affine_metric_d10_h0.005,0.5,0.05,10,0.005,1.0,1.0025301037208982,0.5,0.5006371773831549
M_affine_metric_d10_h0.005,0.5,0.2,10,0.005,1.0,1.0025360631594966,0.2,0.2001076855996998
M_affine_metric_d10_h0.005,1.0,-0.05,10,0.005,0.5,0.5006374927393494,1.0,1.0025314303071522
M_affine_metric_d10_h0.005,1.0,0.0,10,0.005,0.5,0.5006407375636209,0.5,0.5006400101958306
M_affine_metric_d10_h0.005,1.0,0.1,10,0.005,0.5,0.5006422417334909,0.25,0.2501664390604224
M_affine_metric_d10_h0.005,1.0,0.4,10,0.005,0.5,0.5006427093981474,0.1,0.1000316997280104
M_affine_metric_d10_h0.005,2.0,-0.1,10,0.005,0.25,0.2501673831480636,0.5,0.5006409520207498
M_affine_metric_d10_h0.005,2.0,0.0,10,0.005,0.25,0.2501672197324157,0.25,0.2501666833335505
M_affine_metric_d10_h0.005,2.0,0.2,10,0.005,0.25,0.2501664462823815,0.125,0.1250464715160974
M_affine_metric_d10_h0.005,2.0,0.8,10,0.005,0.25,0.2501656044340573,0.05,0.0500114559756878
M_affine_metric_d10_h0.01,0.25,-0.0125,10,0.01,2.0,2.020276968419619,4.0,4.082265615925585
M_affine_metric_d10_h0.01,0.25,0.0,10,0.01,2.0,2.02028291133123,2.0,2.0202814386908
M_affine_metric_d10_h0.01,0.25,0.025,10,0.01,2.0,2.020293947216872,1.0,1.0050434544199152
M_affine_metric_d10_h0.01,0.25,0.1,10,0.01,2.0,2.0203118529324127,0.4,0.400810582803167
M_affine_metric_d10_h0.01,0.5,-0.025,10,0.01,1.0,1.0050435422119122,2.0,2.020308794803855
M_affine_metric_d10_h0.01,0.5,0.0,10,0.01,1.0,1.0050499326282027,1.0,1.0050479740932172
M_affine_metric_d10_h0.01,0.5,0.05,10,0.01,1.0,1.005056644650694,0.5,0.5012653497160672
M_affine_metric_d10_h0.01,0.5,0.2,10,0.01,1.0,1.0050626350708236,0.2,0.2002079017236491
M_affine_metric_d10_h0.01,1.0,-0.05,10,0.01,0.5,0.501266844997929,1.0,1.005056781756024
M_affine_metric_d10_h0.01,1.0,0.0,10,0.01,0.5,0.5012700985803943,0.5,0.5012681896729004
M_affine_metric_d10_h0.01,1.0,0.1,10,0.01,0.5,0.5012716044302997,0.25,0.2503231008322137
M_affine_metric_d10_h0.01,1.0,0.4,10,0.01,0.5,0.5012720712721052,0.1,0.1000567353249202
M_affine_metric_d10_h0.01,2.0,-0.1,10,0.01,0.25,0.2503249162065944,0.5,0.5012691302739107
M_affine_metric_d10_h0.01,2.0,0.0,10,0.01,0.25,0.2503247489074909,0.25,0.2503233424186926
M_affine_metric_d10_h0.01,2.0,0.2,10,0.01,0.25,0.2503239719174653,0.125,0.1250855918619338
M_affine_metric_d10_h0.01,2.0,0.8,10,0.01,0.25,0.2503231275451887,0.05,0.0500177151791922
M_affine_metric_d10_h0.02,0.25,-0.0125,10,0.02,2.0,2.041104037530419,4.0,4.169162719079274
M_affine_metric_d10_h0.02,0.25,0.0,10,0.02,2.0,2.0411100860057023,2.0,2.041110601368193
M_affine_metric_d10_h0.02,0.25,0.025,10,0.02,2.0,2.0411213729009696,1.0,1.0101453271793472
M_affine_metric_d10_h0.02,0.25,0.1,10,0.02,2.0,2.0411396811570657,0.4,0.4016170798617033
M_affine_metric_d10_h0.02,0.5,-0.025,10,0.02,1.0,1.010142719308078,2.0,2.041139004084262
M_affine_metric_d10_h0.02,0.5,0.0,10,0.02,1.0,1.0101491840324153,1.0,1.0101498854247135
M_affine_metric_d10_h0.02,0.5,0.05,10,0.02,1.0,1.0101559760256007,0.5,0.5025280268818378
M_affine_metric_d10_h0.02,0.5,0.2,10,0.02,1.0,1.0101620319990776,0.2,0.2004087371163354
M_affine_metric_d10_h0.02,1.0,-0.05,10,0.02,0.5,0.5025269277890226,1.0,1.0101588243610142
M_affine_metric_d10_h0.02,1.0,0.0,10,0.02,0.5,0.5025302001369589,0.5,0.5025308794898082
M_affine_metric_d10_h0.02,1.0,0.1,10,0.02,0.5,0.5025317093352104,0.25,0.2506372095026551
M_affine_metric_d10_h0.02,1.0,0.4,10,0.02,0.5,0.5025321754494133,0.1,0.1001068578401493
M_affine_metric_d10_h0.02,2.0,-0.1,10,0.02,0.25,0.2506371216395627,0.5,0.5025318192526688
M_affine_metric_d10_h0.02,2.0,0.0,10,0.02,0.25,0.2506369459191161,0.25,0.2506374451727176
M_affine_metric_d10_h0.02,2.0,0.2,10,0.02,0.25,0.25063616215707,0.125,0.1251639304140493
M_affine_metric_d10_h0.02,2.0,0.8,10,0.02,0.25,0.2506353134559402,0.05,0.0500302391873449
M_affine_metric_d10_h0.04,0.25,-0.0125,10,0.04,2.0,2.084544766277281,4.0,4.358972318498652
M_affine_metric_d10_h0.04,0.25,0.0,10,0.04,2.0,2.084551059841804,2.0,2.084551433879
M_affine_metric_d10_h0.04,0.25,0.025,10,0.04,2.0,2.084562828477197,1.0,1.0205600104974455
M_affine_metric_d10_h0.04,0.25,0.1,10,0.04,2.0,2.08458201056486,0.4,0.403243147703387
M_affine_metric_d10_h0.04,0.5,-0.025,10,0.04,1.0,1.0205575254416992,2.0,2.084582212853699
M_affine_metric_d10_h0.04,0.5,0.0,10,0.04,1.0,1.0205641411524564,1.0,1.0205646511203632
M_affine_metric_d10_h0.04,0.5,0.05,10,0.04,1.0,1.0205710985625946,0.5,0.5050790535676543
M_affine_metric_d10_h0.04,0.5,0.2,10,0.04,1.0,1.0205772885245912,0.2,0.2008120254288567
M_affine_metric_d10_h0.04,1.0,-0.05,10,0.04,0.5,0.5050781306730485,1.0,1.0205738654306815
M_affine_metric_d10_h0.04,1.0,0.0,10,0.04,0.5,0.5050814409194228,0.5,0.5050819326049576
M_affine_metric_d10_h0.04,1.0,0.1,10,0.04,0.5,0.5050829569266599,0.25,0.2512685943764318
M_affine_metric_d10_h0.04,1.0,0.4,10,0.04,0.5,0.5050834199320148,0.1,0.1002073030701991
M_affine_metric_d10_h0.04,2.0,-0.1,10,0.04,0.25,0.2512686515547749,0.5,0.5050828705700232
M_affine_metric_d10_h0.04,2.0,0.0,10,0.04,0.25,0.2512684586883944,0.25,0.2512688182442102
M_affine_metric_d10_h0.04,2.0,0.2,10,0.04,0.25,0.2512676607407648,0.125,0.1253210008952513
M_affine_metric_d10_h0.04,2.0,0.8,10,0.04,0.25,0.2512668036962338,0.05,0.0500553127596465
M_affine_metric_d2_h0.005,0.25,-0.0625,2,0.005,2.0,2.010077795788924,4.0,4.04069907717251
M_affine_metric_d2_h0.005,0.25,0.0,2,0.005,2.0,2.010091011151541,2.0,2.010091005170619
M_affine_metric_d2_h0.005,0.25,0.125,2,0.005,2.0,2.010115407983004,1.0,1.0025303310527438
M_affine_metric_d2_h0.005,0.25,0.5,2,0.005,2.0,2.010154984793151,0.4,0.4004193561606241
