job_id,method,rho,radius,step_size,gamma_star,kl_gamma,predicted,measured,relative_error
F2local_d10_k10_rho0p1_r0p01,FR--KL,0.1,0.01,0.5000000000000001,0.8990766917383988,0.6014801605175363,0.6992599197412318,0.6984723112541907,0.0011263458190661213
F2local_d10_k10_rho0p1_r0p01,FR--R,0.1,0.01,0.25,0.8990766917383988,0.7214092002084512,0.7752308270654003,0.7745498597691531,0.0008784058534215822
F2local_d10_k10_rho0p1_r0p05,FR--KL,0.1,0.05,0.5000000000000001,0.8990766917383988,0.6014801605175363,0.6992599197412318,0.6984727768085401,0.0011256800375215592
F2local_d10_k10_rho0p1_r0p05,FR--R,0.1,0.05,0.25,0.8990766917383988,0.7214092002084512,0.7752308270654003,0.7745509030435734,0.0008770600937022532
F2local_d10_k10_rho0p1_r0p1,FR--KL,0.1,0.1,0.5000000000000001,0.8990766917383988,0.6014801605175363,0.6992599197412318,0.6984725024412339,0.0011260724056503246
F2local_d10_k10_rho0p1_r0p1,FR--R,0.1,0.1,0.25,0.8990766917383988,0.7214092002084512,0.7752308270654003,0.7745501415057595,0.0008780424305590007
F2local_d10_k10_rho1_r0p01,FR--KL,1.0,0.01,0.0909090909090909,0.7061351527644306,0.6477205235187903,0.9411163160437463,0.9411484105990805,3.410264468595159e-05
F2local_d10_k10_rho1_r0p01,FR--R,1.0,0.01,0.0454545454545454,0.7061351527644306,0.6756876689172383,0.9679029476016168,0.9679163103014053,1.380582611276715e-05
F2local_d10_k10_rho1_r0p05,FR--KL,1.0,0.05,0.0909090909090909,0.7061351527644306,0.6477205235187903,0.9411163160437463,0.9411490898109871,3.482435346402468e-05
F2local_d10_k10_rho1_r0p05,FR--R,1.0,0.05,0.0454545454545454,0.7061351527644306,0.6756876689172383,0.9679029476016168,0.9679165736015259,1.4077857643624014e-05
F2local_d10_k10_rho1_r0p1,FR--KL,1.0,0.1,0.0909090909090909,0.7061351527644306,0.6477205235187903,0.9411163160437463,0.941149625728803,3.5393802539473995e-05
F2local_d10_k10_rho1_r0p1,FR--R,1.0,0.1,0.0454545454545454,0.7061351527644306,0.6756876689172383,0.9679029476016168,0.9679171555136395,1.4679066798972684e-05
