method,batch_size,median_floor,lower,upper
FR--KL--STL,1,0.004200710878352016,0.003766221503683465,0.004789199484458663
FR--KL--STL,2,0.002379555973414911,0.001976949543552455,0.002558001690414801
FR--KL--STL,4,0.0011376823142401548,0.0010153672935876352,0.0012403526594337258
FR--KL--STL,8,0.0005619573623748826,0.0005154275260239195,0.0006027460290523577
FR--KL--STL,16,0.0002568850125298839,0.00023579307787244423,0.0002981185215400644
FR--KL--STL,32,0.00013111331592031018,0.00011950723094282359,0.00015511396023993446
FR--KL--STL,64,6.747639839015815e-05,6.036728172692784e-05,7.842289244865236e-05
FR--R--STL,1,0.004193705682930697,0.0037934485946063343,0.0048247510555822215
FR--R--STL,2,0.002390269887881851,0.001981686924389817,0.0025863165519036425
FR--R--STL,4,0.0011480022655828142,0.0010196313473263975,0.0012531115784713892
FR--R--STL,8,0.0005691007701711496,0.0005255652983983342,0.0006091411232646309
FR--R--STL,16,0.0002600537412711771,0.0002385435058558056,0.0003025253229687027
FR--R--STL,32,0.0001327949252587936,0.00012108372432549315,0.00015664741248476517
FR--R--STL,64,6.836696500704152e-05,6.112537058989732e-05,7.961943237619669e-05
