method,algorithm_seconds,median,lower,upper
FR--R,0.0,545.7152083153993,545.7152083153993,545.7152083153993
FR--R,0.0296641690074466,205.55578584249835,205.55578584249835,205.55578584249835
FR--R,0.0612707980908453,165.15482741687404,165.15482741687404,165.15482741687404
FR--R,0.0917476770700886,144.05777826474755,144.05777826474755,144.05777826474755
FR--R,0.123453325999435,130.09519562704816,130.09519562704816,130.09519562704816
FR--R,0.1522680949419737,118.959420232327,118.959420232327,118.959420232327
FR--R,0.1825033248751424,108.92383952969166,108.92383952969166,108.92383952969166
FR--R,0.2136823538457974,99.2348212587421,99.2348212587421,99.2348212587421
FR--R,0.2480494628543965,89.54703018200362,89.54703018200362,89.54703018200362
FR--R,0.2822526418603956,79.72507320570307,79.72507320570307,79.72507320570307
FR--R,0.3163145408616401,69.77002025233247,69.77002025233247,69.77002025233247
FR--R,0.3512033999431878,59.78831035346212,59.78831035346212,59.78831035346212
FR--R,0.3911372080910951,49.97162107919107,49.97162107919107,49.97162107919107
FR--R,0.4347600170876831,40.57574964715749,40.57574964715749,40.57574964715749
FR--R,0.480753866082523,31.89466948047516,31.89466948047516,31.89466948047516
FR--R,0.5142554850899614,24.224856486799325,24.224856486799325,24.224856486799325
FR--R,0.5476437840843573,17.811045719617553,17.811045719617553,17.811045719617553
FR--R,0.5832454531919211,12.774642527506842,12.774642527506842,12.774642527506842
FR--R,0.6182776421192102,9.059619117719537,9.059619117719537,9.059619117719537
FR--R,0.6522805511485785,6.450401555234038,6.450401555234038,6.450401555234038
FR--R,0.6871025201398879,4.663199813562414,4.663199813562414,4.663199813562414
FR--R,0.7212523291236721,3.4397882596552307,3.4397882596552307,3.4397882596552307
FR--R,0.7549084580969065,2.5889484130890423,2.5889484130890423,2.5889484130890423
FR--R,0.7886806270107627,1.983551683400833,1.983551683400833,1.983551683400833
FR--R,0.8243790859705769,1.542537527014062,1.542537527014062,1.542537527014062
FR--R,0.8589216048712842,1.2143364008055355,1.2143364008055355,1.2143364008055355
FR--R,0.8929987939191051,0.9655606968129292,0.9655606968129292,0.9655606968129292
FR--R,0.9268453829572536,0.7740452472876029,0.7740452472876029,0.7740452472876029
FR--R,0.9620537219452672,0.6246832699043097,0.6246832699043097,0.6246832699043097
FR--R,0.9979000809253192,0.5069210612716972,0.5069210612716972,0.5069210612716972
FR--R,1.031199399905745,0.4132200187630275,0.4132200187630275,0.4132200187630275
FR--R,1.061981388949789,0.338088296750243,0.338088296750243,0.338088296750243
FR--R,1.094386788958218,0.2774551120807587,0.2774551120807587,0.2774551120807587
FR--R,1.1259479080326855,0.2282564288397282,0.2282564288397282,0.2282564288397282
FR--R,1.1568198670283891,0.1881544150087108,0.1881544150087108,0.1881544150087108
FR--R,1.1888672959757969,0.1553436256240701,0.1553436256240701,0.1553436256240701
FR--R,1.2199828150914982,0.1284146676325832,0.1284146676325832,0.1284146676325832
FR--R,1.2510672940989025,0.1062567285379572,0.1062567285379572,0.1062567285379572
FR--R,1.2804197241785005,0.0879868535035512,0.0879868535035512,0.0879868535035512
FR--R,1.311875513230916,0.0728979290739175,0.0728979290739175,0.0728979290739175
FR--R,1.343375422176905,0.0604199397640599,0.0604199397640599,0.0604199397640599
FR--R,1.3771009011543356,0.0500907672159058,0.0500907672159058,0.0500907672159058
FR--R,1.4081179202185012,0.0415339344289691,0.0415339344289691,0.0415339344289691
FR--R,1.4386791491415352,0.0344414631443186,0.0344414631443186,0.0344414631443186
FR--R,1.469445268099662,0.0285605373271948,0.0285605373271948,0.0285605373271948
FR--R,1.501591467182152,0.0236830301467705,0.0236830301467705,0.0236830301467705
FR--R,1.5379041460691951,0.0196372077841004,0.0196372077841004,0.0196372077841004
FR--R,1.572922954976093,0.0162811049438573,0.0162811049438573,0.0162811049438573
FR--R,1.60869811399607,0.013497196905817,0.013497196905817,0.013497196905817
FR--R,1.6437787730246782,0.0111880867712272,0.0111880867712272,0.0111880867712272
FR--R,1.679811890993733,0.009272994848601,0.009272994848601,0.009272994848601
