method,algorithm_seconds,median,lower,upper
FR--R,0.0,0.6931471805579523,0.6931471805579523,0.6931471805579523
FR--R,0.0362486189696937,0.6664093083601438,0.6664093083601438,0.6664093083601438
FR--R,0.0724266479955986,0.5846575401452254,0.5846575401452254,0.5846575401452254
FR--R,0.1085550868301652,0.543044490769896,0.543044490769896,0.543044490769896
FR--R,0.1355807758518494,0.5133457196491497,0.5133457196491497,0.5133457196491497
FR--R,0.1676084948703646,0.4882654587335467,0.4882654587335467,0.4882654587335467
FR--R,0.2023685838794335,0.4653370542878296,0.4653370542878296,0.4653370542878296
FR--R,0.2341381729347631,0.4434268190863621,0.4434268190863621,0.4434268190863621
FR--R,0.2659484919859096,0.4219773481536475,0.4219773481536475,0.4219773481536475
FR--R,0.2986000509699806,0.4007992603127975,0.4007992603127975,0.4007992603127975
FR--R,0.3306949200341478,0.3799708258534092,0.3799708258534092,0.3799708258534092
FR--R,0.3627000590204261,0.3597627701579587,0.3597627701579587,0.3597627701579587
FR--R,0.3950373580446467,0.3405819948585414,0.3405819948585414,0.3405819948585414
FR--R,0.4273547580232844,0.3229367387598903,0.3229367387598903,0.3229367387598903
FR--R,0.459514377056621,0.3074024022352659,0.3074024022352659,0.3074024022352659
FR--R,0.4919042660621926,0.2945417145173732,0.2945417145173732,0.2945417145173732
FR--R,0.5242215450271033,0.28474590872825,0.28474590872825,0.28474590872825
FR--R,0.5567662240937352,0.2780383539192632,0.2780383539192632,0.2780383539192632
FR--R,0.5890206430922262,0.2739846423506361,0.2739846423506361,0.2739846423506361
FR--R,0.6213136720471084,0.27183997964158,0.27183997964158,0.27183997964158
FR--R,0.6561644310131669,0.2708483246279927,0.2708483246279927,0.2708483246279927
FR--R,0.6884664899553172,0.2704553997922114,0.2704553997922114,0.2704553997922114
FR--R,0.7301444078912027,0.270338773940726,0.270338773940726,0.270338773940726
FR--R,0.7618770069093443,0.2703390677733617,0.2703390677733617,0.2703390677733617
FR--R,0.7937160659930669,0.2703861659740195,0.2703861659740195,0.2703861659740195
FR--R,0.8258611349156126,0.270452006051528,0.270452006051528,0.270452006051528
