tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_family,grid_rho,grid_role
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,0,0.0,8.112338983637708,2.1598090063619697,nan,4.562957184844511,2.1361079525259266,2.9495198569914895e-15,1.0,1.0,0.9999999999999981,1.0000000000000013,2.0000000000000018,3.8248759027547212,3.8906654092881583,0.0007613300113007426,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,12.001094871314502,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,1,0.280416974962791,7.16897212100068,1.216442143724942,nan,2.541596832485065,1.5936925108610713,0.084858471822166,0.9996531816824374,1.0780814569109507,0.9996531816824368,1.0780814569109511,2.1097238660148094,2.337454879894875,2.2363439498018796,0.0027328800060786307,0.0006743600242771208,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,6.898196859177612,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,2,0.280416974962791,6.599499231132381,0.6469692538566427,nan,1.3386322206334287,1.1552880669724015,0.12881390070122675,0.9994571602762335,1.1195602839381875,0.9994571602762321,1.119560283938188,2.1680408230278188,1.3063935633785915,1.2092921368194198,0.004335710022132844,0.0013120300136506557,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,3.730166471385105,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,3,0.280416974962791,6.2840847701091604,0.3315547928334226,nan,0.6802104668084892,0.8219041959430617,0.1407518685233745,0.9993651730314881,1.1308142762367321,0.999365173031489,1.1308142762367328,2.1826941658693504,0.6842578367835118,0.6287004754168435,0.0058973400155082345,0.0019316300167702138,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,1.9392811402146581,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,4,0.280416974962791,6.119736779696442,0.1672068024207043,nan,0.34040733992337024,0.5797790747120376,0.13410041062954764,0.9993417172528124,1.1243141274218622,0.9993417172528111,1.1243141274218629,2.1721022564336554,0.34659782854121673,0.32138760244768244,0.007494740013498813,0.002586370042990893,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.9913479319581554,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,5,0.280416974962791,6.036716607287182,0.08418663001144377,nan,0.17011608337095202,0.408308938003713,0.11939124921097141,0.9993610456730548,1.1101978136195765,0.9993610456730537,1.1101978136195774,2.1513412900672635,0.17372664593594708,0.1640194884999152,0.009075179987121373,0.003214390017092228,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.5059323368009957,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,6,0.280416974962791,5.995174170277355,0.04264419300161748,nan,0.08550161943770233,0.28805215710721366,0.10259243097458949,0.9994051386826385,1.094225675803023,0.9994051386826386,1.0942256758030235,2.1286854831924726,0.08725990848242825,0.08426629085259556,0.010619720036629587,0.0038342600455507636,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,0,0,12,12,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.25992668209441516,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,7,0.280416974962791,5.974340808396426,0.021810831120688157,nan,0.04335287306290924,0.2038269428094718,0.08647503457318058,0.999461787843348,1.0790364848644742,0.9994617878433478,1.0790364848644747,2.107677992191119,0.04418265104995319,0.04376761476947313,0.012225370039232075,0.004468040075153112,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,0,0,14,14,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.13500500348491673,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,8,0.280416974962791,5.963813007066714,0.011283029790976506,nan,0.02220211108983588,0.14470079226176455,0.07210261456379446,0.9995230030119934,1.0656063851567386,0.9995230030119925,1.065606385156739,2.0894609361841487,0.02261171774372534,0.023036616491982832,0.01377170003252104,0.005082060059066862,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,0,0,16,16,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.07105844141065747,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-kl,FR--KL,2500492809,9,0.280416974962791,5.958439638377591,0.005909661101853203,nan,0.011490206130214202,0.10304578363502817,0.05973819011412506,0.9995837731317734,1.054143372942743,0.9995837731317735,1.0541433729427439,2.074140203883115,0.011711977024510649,0.012306815176053101,0.015330469002947211,0.005704289069399238,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,0,0,18,18,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.037961438714044775,10.0,10,logcosh,1.0,stepsize_pilot
