tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_family,grid_rho,grid_role
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,0,0.0,8.112338983637708,2.1598090063619697,nan,4.562957184844511,2.1361079525259266,2.9495198569914895e-15,1.0,1.0,0.9999999999999981,1.0000000000000013,2.0000000000000018,3.8248759027547212,3.8906654092881583,0.0007562200189568102,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,12.001094871314502,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,1,0.280416974962791,7.1672805063091305,1.2147505290333926,nan,2.5425498811392013,1.5936925108610713,0.10596777210136402,0.9995558725270246,1.09717190201778,0.9995558725270237,1.0971719020177808,2.1368827544312405,2.3560611478537363,2.2240125438476257,0.0026952900225296617,0.0006077999714761972,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,6.8601595680755825,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,2,0.280416974962791,6.593812295042467,0.6412823177667288,nan,1.3293348988597837,1.1504464997757458,0.15718400894497747,0.9993283193927964,1.1457277748376629,0.9993283193927961,1.1457277748376635,2.2046262949745774,1.310235249205377,1.1927794164826084,0.004284909984562546,0.001214299933053553,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,3.6792315534472975,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,3,0.280416974962791,6.278105593767692,0.3255756164919541,nan,0.6684945649054477,0.8137028482527848,0.16503702719402452,0.9992415535387446,1.1532333344727403,0.999241553538744,1.1532333344727403,2.213134424506871,0.678003290569295,0.6154663885814233,0.005814980017021298,0.0017882099491544068,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,1.8984594516500406,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,4,0.280416974962791,6.115455190252734,0.16292521297699647,nan,0.33155722675661425,0.5712139124699575,0.14953052140238837,0.9992412587842097,1.1383373969414106,0.999241258784209,1.1383373969414112,2.190298952566164,0.339303804315387,0.31301213499910546,0.00740722002228722,0.002398169948719442,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.9655130762540333,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,5,0.280416974962791,6.034118726465021,0.08158874918928305,nan,0.16469106576661727,0.40113659870442736,0.12602970957945442,0.999290157458093,1.1158978622422382,0.9992901574580917,1.1158978622422386,2.1579360777359358,0.16854822363074343,0.1591653125052251,0.008919109997805208,0.002967839944176376,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.4909592099689477,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,6,0.280416974962791,5.99367911957567,0.04114914229993172,nan,0.08244637469041091,0.28271551227902164,0.10237573994468378,0.9993636433368345,1.093498018704076,0.9993636433368327,1.0934980187040764,2.126579329884506,0.08412150494736222,0.08141818439702811,0.010455949988681823,0.0035738899605348706,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,6,6,12,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.2511414507313507,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,7,0.280416974962791,5.973467160044883,0.02093718276914558,nan,0.0416582967633769,0.2001167591915517,0.08155822272029685,0.9994461332287959,1.0739673625732402,0.9994461332287949,1.0739673625732402,2.0997752628097643,0.04235612758016243,0.041973939475908356,0.012001460010651499,0.004179259936790913,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,7,7,14,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.1294722564861605,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,8,0.280416974962791,5.96327503689786,0.010745059622122355,nan,0.021235327692235625,0.14222274266100632,0.06428256646589299,0.9995282543424703,1.0579132001876506,0.9995282543424703,1.0579132001876514,2.0780323488614716,0.021528128692363757,0.02181049244635317,0.013532079989090562,0.004785229917615652,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,8,8,16,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.06727635545680677,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,9,0.280416974962791,5.958087518921018,0.005557541645280217,nan,0.010909355410831911,0.10142696023339966,0.05035503421313672,0.9996047791414959,1.045088733233427,0.9996047791414954,1.0450887332334275,2.0608072381376576,0.0110379446849369,0.011417552091224638,0.01562422001734376,0.005626359896268696,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,9,9,18,0,0,0,1,False,False,0.5,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.035218429607914326,10.0,10,logcosh,1.0,stepsize_pilot
