tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_dimension,grid_family,grid_rho,grid_role
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,0,0.0,8.112338983637708,2.1598090063619697,nan,4.562957184844511,2.1361079525259266,2.9495198569914895e-15,1.0,1.0,0.9999999999999981,1.0000000000000013,2.0000000000000018,3.8248759027547212,3.8906654092881583,0.0006521790055558085,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,12.001094871314502,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,1,1.121667899851164,5.99923844773968,0.04670847046394222,nan,0.0664830291664202,0.13282046735655048,0.4820095709129901,0.9982246732529942,1.4491011733640606,0.998224673252994,1.4491011733640615,2.7310367830189204,0.09517297550473329,0.12740028661472327,0.002465249039232731,0.0006037899875082076,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.39297723280082586,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,2,1.121667899851164,5.953380254382236,0.0008502771064984316,nan,0.0014760695587503737,0.034128663894393,0.035089923022992825,0.9705795559678789,1.007432540258311,0.9705795559678795,1.0074325402583106,1.9665879320086612,0.0016105607552481284,0.0020943871972274597,0.003983159025665373,0.0011746599921025336,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,0.00646031894472055,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,3,1.121667899851164,5.952541383838908,1.1406563170446304e-05,nan,1.9655259023490415e-05,0.003967300486888681,0.003957130481601168,0.9972866001161353,1.0019358338598212,0.9972866001161359,1.0019358338598208,2.0008128700131596,2.2294189854141353e-05,2.8255410060332247e-05,0.00550163903972134,0.0017508800374343991,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,8.715626276996741e-05,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,4,1.121667899851164,5.952530187897073,2.1062133548355177e-07,nan,3.785352843417305e-07,0.000569177352156713,0.00046721341946411987,0.9997298874354908,1.0002029780807618,0.9997298874354906,1.0002029780807615,1.999754396758412,4.1404591468937294e-07,4.950159746055632e-07,0.0070086290361359715,0.002317910024430603,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,1.5269197037286482e-06,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,5,1.121667899851164,5.952529981626091,4.350352966753235e-09,nan,7.647521723488913e-09,7.872766185150285e-05,7.614471323541087e-05,0.9999853365463567,1.0000414636175377,0.9999853365463571,1.0000414636175372,2.0000605307664294,8.451068681046883e-09,1.0486951824047667e-08,0.008520859002601355,0.0028960600029677153,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,3.234791237787968e-08,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,6,1.121667899851164,5.95252997737348,9.774225873115938e-11,nan,1.6805618625327078e-10,1.1194598657332249e-05,1.3074206326734527e-05,0.9999939408844895,1.0000074625091242,0.9999939408844886,1.0000074625091246,1.9999980590968127,1.852810783112867e-10,2.406355556788768e-10,0.010000139009207487,0.0034539600019343197,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,6,6,12,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,7.422612405115701e-10,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,7,1.121667899851164,5.95252997727812,2.382094521635736e-12,nan,3.98704880213953e-12,1.6082261763422553e-06,2.3558456009928478e-06,0.9999998965345348,1.000001459186466,0.9999998965345354,1.0000014591864668,2.000001980006133,4.3540603661660264e-12,6.028192854839111e-12,0.01155670901061967,0.004074230033438653,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,7,7,14,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,1.8594483653309245e-11,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,8,1.121667899851164,5.952529977275801,6.306066779870889e-14,nan,1.1033279905459175e-13,2.3223580560205132e-07,4.3990133524186755e-07,0.9999998654031057,1.0000002784452535,0.9999998654031055,1.0000002784452535,2.0000002070415133,1.1108570496928443e-13,1.662089525903688e-13,0.013050589011982083,0.004636870056856424,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,8,8,16,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,5.12685928668377e-13,10.0,10,logcosh,1.0,stepsize_pilot
manuscript-pilot,D,pilot_logcosh_d10_k10_rho1_fr-r,FR--R,2500492809,9,1.121667899851164,5.952529977275739,8.881784197001252e-16,nan,9.601760619317979e-15,3.411840606134451e-08,8.380716384152522e-08,0.9999999989529411,1.0000000573718395,0.9999999989529418,1.000000057371839,2.000000084366145,3.1150044327457703e-15,5.030127858541689e-15,0.014542018994688988,0.005209470051340759,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,9,9,18,0,0,0,1,False,False,2.0,0,nan,nan,nan,nan,0.16209626917406456,1.7830589609147085,0.1620962691740644,1.7830589609147083,11.0,0.9999999999999993,1.0000000000000016,6.169173449181403,1.5515865615451547e-14,10.0,10,logcosh,1.0,stepsize_pilot
