tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_family,grid_feature_condition,grid_role
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,0,0.0,767.7933702295541,369.07772370135365,nan,30.898135161619525,8.029745762023783,245.3061502952845,1.0,1.0,1.847131287012389,102.95285089620805,147.43189234935107,10463.072107262384,18389.775361643668,0.0019207400036975741,0.0,,nan,nan,nan,nan,nan,0.693147180557945,0.4922,0.2499999999999998,0,0,0,0,0,0,0,0,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,946639.9004110257,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,1,0.02505146174459916,499.0690970847812,100.35345055658081,nan,14.872533876696316,6.772467760566677,47.37781119110242,0.028867936910896293,0.9773179599907057,1.8038765433549078,13.604626535109514,20.4421076437444,853.244871221063,4589.1789416608635,0.10134562698658556,0.008024699985980988,,nan,nan,nan,nan,nan,0.7111146535712218,0.465,0.25743712946804503,1,1,1,1,1,0,1,1,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,236234.52765841316,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,2,0.02505146174459916,449.1169653827148,50.401318854514386,nan,9.3062756748938,4.331725233137248,27.635710490210112,0.028139365688996273,0.9478374970307483,1.4446581393451305,14.469717659127006,17.26380180743778,374.48905119529894,3265.1470944217,0.20443967398023233,0.016059039975516498,,nan,nan,nan,nan,nan,0.70080777872775,0.4522,0.2529995359757739,2,2,2,2,2,0,2,2,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,168078.10098309125,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,3,0.02505146174459916,441.69676575096196,42.98111922276155,nan,6.79016616071536,4.400173315927588,34.46044294092015,0.027203758535202592,0.9160567097532242,1.186869659169859,24.444061770048997,39.20416146381792,498.71647582926573,4077.032469579299,0.307517860957887,0.024180829932447523,,nan,nan,nan,nan,nan,0.7190699248514005,0.4642,0.26061161850649694,3,3,3,3,3,0,3,3,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,209871.05796979714,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,4,0.02505146174459916,442.4309589588561,43.71531243065567,nan,5.339879257164927,3.6072390858352996,44.907099688220384,0.026712512439992397,0.8876430717954631,1.1447106587007536,33.14323783903992,58.66349234440634,824.2893123459042,5423.773402443967,0.4107023979886435,0.03230038995388895,,nan,nan,nan,nan,nan,0.7085230746550507,0.4624,0.2562578870065133,4,4,4,4,4,0,4,4,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,279196.46719831496,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,5,0.02505146174459916,449.50499376142636,50.78934723322595,nan,4.562561056244843,4.085674933560981,61.96927257449209,0.02714786818007025,0.8604739037514985,1.1052105291778624,46.79110955991232,84.88643773253783,1325.9227561671894,6370.388987707504,0.5144879349973053,0.04051694000372663,,nan,nan,nan,nan,nan,0.7254637460474774,0.469,0.2632265436119316,5,5,5,5,5,0,5,5,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,327924.85380114656,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,6,0.02505146174459916,448.8297793755049,50.11413284730452,nan,3.822858724701075,3.2210582680264834,65.353845448276,0.026192663179369018,0.8373228853245721,1.1366258841962689,48.7526263447474,90.46737738649857,1528.9786109159115,6962.758303660858,0.6195946320076473,0.048647539981175214,,nan,nan,nan,nan,nan,0.7137654287763977,0.465,0.258381582040679,6,6,6,6,6,0,6,6,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,358417.90873156354,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,7,0.02505146174459916,453.4442663042075,54.728619776007065,nan,3.4519629077724723,3.7570092224100256,76.06582968833185,0.026829727568698693,0.815077847540516,1.114499571023023,57.39972983178334,106.34235692543638,1849.8502854832068,7235.281432905067,0.7229783879593015,0.05688031896715984,,nan,nan,nan,nan,nan,0.7286291352326391,0.471,0.2644496653747055,7,7,7,7,7,0,7,7,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,372446.4252769871,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,8,0.02505146174459916,449.88093485516686,51.16528832696645,nan,2.935794216996623,2.8521722432800565,72.66310016664026,0.02590357570733294,0.796013109779566,1.1394240657294483,54.003214948813515,101.64148704482938,1788.3118500954015,7334.822976257802,0.8268627049983479,0.06503077794332057,,nan,nan,nan,nan,nan,0.7178642677079091,0.4646,0.2599986857901096,8,8,8,8,8,0,8,8,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,377570.4681123733,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fb-gvi,FB--GVI,3602226593,9,0.02505146174459916,453.05032444574664,54.33467791754623,nan,2.7283572856909153,3.3615501397276937,79.79215864977097,0.026574989736322302,0.777533047755228,1.1177904218884755,60.17117044169666,112.21865301150764,1978.6594841767017,7407.839620841674,0.9304003719589673,0.07317904697265476,,nan,nan,nan,nan,nan,0.7301870186713437,0.4706,0.2650167369962082,9,9,9,9,9,0,9,9,0,0,0,1,False,False,4.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,381329.1039737657,50,logistic,100.0,stepsize_pilot
