tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_family,grid_feature_condition,grid_role
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,0,0.0,767.7933702295541,369.07772370135365,nan,30.898135161619525,8.029745762023783,245.3061502952845,1.0,1.0,1.847131287012389,102.95285089620805,147.43189234935107,10463.072107262384,18389.775361643668,0.002033590048085898,0.0,,nan,nan,nan,nan,nan,0.693147180557945,0.4922,0.2499999999999998,0,0,0,0,0,0,0,0,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,946639.9004110257,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,1,0.05010292348919832,548.9360486395058,150.22040211130536,nan,16.632634752469237,13.873828439762837,57.58475445121203,0.07918371616259569,0.9768812212015014,1.8038604998185503,14.804196485056188,23.343416021917985,1125.4531617834953,7427.043198603669,0.10716959700221196,0.008293299993965775,,nan,nan,nan,nan,nan,0.7979113969159195,0.465,0.2845427651652089,1,1,1,1,1,1,1,2,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,382317.6355127679,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,2,0.05010292348919832,498.74372554500104,100.02807901680063,nan,11.4657996053345,10.547253263522084,40.55389659801537,0.0658301780161209,0.9541741239363899,1.7615474345997413,9.91648771754119,16.425028693998136,640.930718426087,5575.290784208832,0.20969658403191715,0.016844580008182675,,nan,nan,nan,nan,nan,0.7813652051799814,0.4626,0.2803259235685142,2,2,2,2,2,2,2,4,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,286996.0404048259,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,3,0.05010292348919832,469.57263963882747,70.85699311062706,nan,8.399802542649127,8.262940037528915,31.02263477673983,0.055219081180183587,0.9312130654314118,1.7187689054580009,7.538115327686847,12.79166074462192,400.48569639304833,4265.673763041652,0.3121760810026899,0.025496110029052943,,nan,nan,nan,nan,nan,0.7687785821224826,0.464,0.2768707469058346,3,3,3,3,3,3,3,6,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,219581.63744914584,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,4,0.05010292348919832,451.1406573814382,52.42501085323778,nan,6.396637725118053,6.656324315649439,24.86199611477669,0.047334494401636173,0.9085661159204405,1.6766772157879164,6.141257804719135,10.505194621740245,265.36723611874504,3332.4450729552573,0.41477310803020373,0.03424551000352949,,nan,nan,nan,nan,nan,0.7601974890073491,0.4624,0.2743912018710676,4,4,4,4,4,4,4,8,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,171542.36035788202,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,5,0.05010292348919832,438.8244968408209,40.10885031262052,nan,5.008551090334791,5.498491196402697,20.55349397980091,0.04140472182023416,0.8866662266318708,1.636055508333919,5.240122177786597,8.93260242135528,184.24582885470045,2657.3105710933846,0.5170301450416446,0.04297520004911348,,nan,nan,nan,nan,nan,0.7544844687478717,0.464,0.27268884908777213,5,5,5,5,5,5,5,10,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,136788.84950534665,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,6,0.05010292348919832,430.2145492867685,31.49890275856808,nan,4.004805030200893,4.640547445435604,17.3793133567074,0.03683893717044433,0.865779691698586,1.5973705868856038,4.575947805570008,7.790586779200733,132.92823324369922,2157.82245213131,0.6205877920147032,0.05180922005092725,,nan,nan,nan,nan,nan,0.750644058670946,0.4652,0.27152571117264734,6,6,6,6,6,6,6,12,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,111076.98658738183,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,7,0.05010292348919832,423.9673425170986,25.251695988898177,nan,3.2549564228740007,3.9867321757557423,14.950221502667667,0.0332424883292234,0.8460423490095668,1.5608535087705468,4.063093478906218,6.9285922398719695,98.96369979430882,1779.2701447944828,0.7276019380078651,0.061407999077346176,,nan,nan,nan,nan,nan,0.7480019547009403,0.4642,0.27072026313936404,7,7,7,7,7,7,7,14,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,91590.46696054998,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,8,0.05010292348919832,419.2943138272423,20.57866729904191,nan,2.680295990089378,3.475355942412872,13.035909359040957,0.030351365844300933,0.8275017045079197,1.5265780834687004,3.6566906055175226,6.258192075762413,75.59309079492326,1485.8442857934306,0.8319300650036894,0.07012399809900671,,nan,nan,nan,nan,nan,0.7461328377027135,0.4654,0.270150455850716,8,8,8,8,8,8,8,16,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,76485.95260513651,50,logistic,100.0,stepsize_pilot
manuscript-pilot,L,pilot_logistic_d50_kX1e2_fr-r,FR--R,3602226593,9,0.05010292348919832,415.7106602775102,16.995013749309805,nan,2.230805639162997,3.066070608476632,11.491428076972218,0.027985408573298724,0.810150137910049,1.4945207402127152,3.32836293131443,5.724008024333948,58.97205907856204,1253.8697055817374,0.937789022049401,0.07893219805555418,,nan,nan,nan,nan,nan,0.7447719193647705,0.4636,0.26973735252383546,9,9,9,9,9,9,9,18,0,0,0,1,False,False,8.0,0,nan,nan,nan,nan,1.0,126.5374245596017,0.009713184154639442,1.550916949065213,159.67132140951196,1.8471312870123962,102.95285089620789,102.95285089620789,64544.73042101412,50,logistic,100.0,stepsize_pilot
