tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,0,0.0,18.764351034813824,12.159180848825736,12.159180848825736,1.267313783470426,0.8213537533545033,1.9936568611186622,0.0001,0.0001,0.0001000000000000003,0.009999999999999985,1.9926818657764764,39800.15705719235,0.00047347001964226365,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,1,0.1,18.574461963407533,11.969291777419443,11.969291777419443,1.265604815358449,0.8207026831391091,1.993030051884163,0.0001098901098901099,0.00010999890001099992,0.00010999890001099955,0.01098901098901097,1.9919503772699623,36175.35736047776,0.0011846600100398064,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,2,0.1,18.38464593183226,11.77947574584417,11.77947574584417,1.2638140759135001,0.8199879959181661,1.9923421157087398,0.00012074643249176737,0.00012099745905335991,0.00012099745905336,0.012074643249176712,1.9911458355475484,32880.08531958441,0.0016501900390721858,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,3,0.1,18.194910222933057,11.589740036944963,11.589740036944963,1.2619377538435463,0.8192036371321203,1.9915872590621306,0.00013266089244600384,0.00013309559453582092,0.00013309559453582136,0.013266089244600363,1.9902609641525018,29884.383947856102,0.002064830041490495,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,4,0.1,18.005262842616506,11.400092656628418,11.400092656628418,1.2599718721797066,0.8183430093911136,1.9907591737605816,0.00014573365012974783,0.00014640320542723615,0.00014640320542723645,0.014573365012974765,1.9892877678201286,27161.019634722525,0.0024686200194992125,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,5,0.1,17.81571259081284,11.210542404824746,11.210542404824746,1.257912282567241,0.8173989307382745,1.9898509983412447,0.00016007373384748774,0.00016104116827563567,0.00016104116827563632,0.016007373384748752,1.9882174633131777,24685.234568651875,0.0028792800148949027,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,6,0.1,17.626269139175587,11.0210989531875,11.0210989531875,1.255754659561871,0.8163635911806892,1.9888552780331568,0.00017579969809140898,0.0001771424323807731,0.0001771424323807729,0.017579969809140873,1.9870404041699183,22434.521667592562,0.003274560032878071,,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,0,0,12,12,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,7,0.1,17.43694311609455,10.831772930106458,10.831772930106458,1.2534944949652707,0.8152285077665938,1.9877639236268876,0.00019304030362957435,0.00019485322394144578,0.00019485322394144575,0.019304030362957407,1.9857459990045472,20388.419970853673,0.0036760999937541783,,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,0,0,14,14,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,8,0.1,17.247746199627958,10.642576013639871,10.642576013639871,1.2511270922388276,0.8139844785912856,1.9865681696455677,0.00021193521361267598,0.0002143343699612916,0.00021433436996129134,0.021193521361267564,1.9843226230354056,18528.328632392226,0.004066399997100234,,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,0,0,16,16,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,9,0.1,17.058691218986244,10.453521032998154,10.453521032998154,1.2486475610405467,0.8126215362389618,1.9852585323389136,0.00023263569801042574,0.00023576275375129216,0.00023576275375129232,0.023263569801042546,1.9827575225754857,16837.33782458319,0.004452250024769455,,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,0,0,18,18,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,10,0.1,16.869792265218816,10.264622079230728,10.264622079230728,1.2460508119362483,0.8111289013158423,1.983824768160796,0.000255305336459937,0.00025933291502220295,0.00025933291502220387,0.025530533645993662,1.981036712308971,15300.07501528482,0.004851459991186857,,nan,nan,nan,nan,nan,nan,nan,10,10,10,10,10,0,0,0,20,20,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,11,0.1,16.68106481176529,10.075894625777195,10.075894625777195,1.243331551342996,0.8094949369041242,1.9822558335513127,0.0002801207069924496,0.00028525880882458043,0.0002852588088245819,0.028012070699244922,1.9791448653058492,13902.56522077324,0.0052466600318439305,,nan,nan,nan,nan,nan,nan,nan,11,11,11,11,11,0,0,0,22,22,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,12,0.1,16.49252584552833,9.887355659540242,9.887355659540242,1.2404842767699102,0.8077071049690284,1.9805398470271833,0.00030727204506666365,0.00031377573897768457,0.0003137757389776839,0.030727204506666318,1.9770651959044871,12632.103964176858,0.0056436299928463995,,nan,nan,nan,nan,nan,nan,nan,12,12,12,12,12,0,0,0,24,24,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,13,0.1,16.304194009103178,9.699023823115088,9.699023823115088,1.237503272429143,0.8057519259844189,1.97866405478979,0.0003369638538484744,0.00034514248314168296,0.0003451424831416844,0.033696385384847385,1.974779335832241,11477.141784547723,0.006033920042682439,,nan,nan,nan,nan,nan,nan,nan,13,13,13,13,13,0,0,0,26,26,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,14,0.1,16.11608975475129,9.5109195687632,9.5109195687632,1.2343826052976583,0.8036149433075856,1.9766148012873768,0.0003694154427208182,0.0003796436283413917,0.0003796436283413927,0.03694154427208178,1.9722672042513818,10427.179246712298,0.006419530021958053,,nan,nan,nan,nan,nan,nan,nan,14,14,14,14,14,0,0,0,28,28,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,15,0.1,15.92823551062696,9.32306532463887,9.32306532463887,1.2311161217184696,0.8012806941309693,1.9743775064142768,0.00040486136658313154,0.0004175921375561041,0.00041759213755610404,0.04048613665831309,1.9695068728288632,9472.671497502242,0.006814319989643991,,nan,nan,nan,nan,nan,nan,nan,15,15,15,15,15,0,0,0,30,30,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,16,0.1,15.740655859644974,9.135485673656882,9.135485673656882,1.2276974446378885,0.7987326891665294,1.9719366512909795,0.0004435517336311627,0.0004593321699614443,0.00045933216996144597,0.044355173363116174,1.9664744274526014,8604.941500742823,0.007198800041805953,,nan,nan,nan,nan,nan,nan,nan,16,16,16,16,16,0,0,0,32,32,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,17,0.1,15.553377731205323,8.948207545217233,8.948207545217233,1.2241199715828635,0.7959534035735563,1.9692757748369927,0.00048575234405108595,0.0005052421795589195,0.0005052421795589216,0.04857523440510857,1.963143828874016,7816.1011622600245,0.0075926799909211695,,nan,nan,nan,nan,nan,nan,nan,17,17,17,17,17,0,0,0,34,34,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,18,0.1,15.366430605754246,8.761260419766156,8.761260419766156,1.2203768734893223,0.7929242820164402,1.9663774836130854,0.0005317446165170975,0.0005557383192708423,0.0005557383192708423,0.05317446165170971,1.959486775366905,7098.979627872338,0.007993470004294068,,nan,nan,nan,nan,nan,nan,nan,18,18,18,18,18,0,0,0,36,36,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,19,0.1,15.179846731845258,8.574676545857168,8.574676545857168,1.2164610944980725,0.7896257611249413,1.9632234776557205,0.0005818252537046956,0.0006112781801270832,0.0006112781801270818,0.05818252537046947,1.9554725714749852,6447.058102508905,0.008377680031117052,,nan,nan,nan,nan,nan,nan,nan,19,19,19,19,19,0,0,0,38,38,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,20,0.1,14.993661354953309,8.388491168965219,8.388491168965219,1.2123653528388434,0.7860373130106465,1.9597945952344988,0.0006363055924475703,0.0006723648979406722,0.000672364897940673,0.06363055924475693,1.9510680080889224,5854.410597832333,0.008777150011155754,,nan,nan,nan,nan,nan,nan,nan,20,20,20,20,20,0,0,0,40,40,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,21,0.1,14.807912956773114,8.202742770785024,8.202742770785024,1.208082142924789,0.7821375138486246,1.9560708796080089,0.000695510578982199,0.0007395516628769062,0.0007395516628769109,0.06955105789821983,1.9462372604547926,5315.650069577136,0.009162259986624122,,nan,nan,nan,nan,nan,nan,nan,21,21,21,21,21,0,0,0,42,42,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,22,0.1,14.622643503080972,8.01747331709288,8.01747331709288,1.2036037387786211,0.7779041418348693,1.9520316709034036,0.0007597773053450383,0.000813446670580808,0.0008134466705808077,0.07597773053450373,1.9409418122627573,4825.879454729712,0.009545259992592037,,nan,nan,nan,nan,nan,nan,nan,22,22,22,22,22,0,0,0,44,44,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,23,0.1,14.437898697442657,7.832728511454565,7.832728511454565,1.1989221989067584,0.7733143090423128,1.9476557261632195,0.0008294530399237077,0.0008947185570557546,0.0008947185570557575,0.08294530399237063,1.9351404156708183,4380.647163114652,0.009991860017180443,,nan,nan,nan,nan,nan,nan,nan,23,23,23,23,23,0,0,0,46,46,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,24,0.1,14.2537282370941,7.6485580511060105,7.6485580511060105,1.1940293727287916,0.7683446317768422,1.942921370347009,0.0009048926840402596,0.0009841023632966813,0.000984102363296684,0.09048926840402582,1.9287890989296663,3975.9066183156347,0.010375450015999377,,nan,nan,nan,nan,nan,nan,nan,24,24,24,24,24,0,0,0,48,48,0,1,False,False,0.1
smoke,A,A_covariance_burnin_smoke,FR--KL,1582940024,25,0.1,14.070186066199792,7.465015880211701,7.465015880211701,1.188916908655514,0.7629714439271332,1.9378066805990208,0.0009864555879971924,0.0010824060797882324,0.0010824060797882367,0.09864555879971913,1.9218412351001886,3607.9794795125185,0.010774000023957342,,nan,nan,nan,nan,nan,nan,nan,25,25,25,25,25,0,0,0,50,50,0,1,False,False,0.1
