tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_condition,grid_lambda0
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,0,0.0,18.764351034813824,12.159180848825814,12.159180848825814,1.267313783470426,0.8213537533545033,1.9936568611186622,0.0001,0.0001,0.0001000000000000003,0.009999999999999985,0.008717620717941963,1.9926818657764764,39800.15705719235,0.010341550048906356,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,19900.078528596176,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,1,0.1,18.565115438545167,11.959945252557299,11.959945252557299,1.26551925151984,0.8207026831391091,1.9929973825738097,0.00011040662995588825,0.00011051598664217257,0.00011051598664217305,0.011040662995588809,0.00961712184519882,1.9919128391171002,36005.1737825777,0.011090960004366934,0.0001387799857184291,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,18002.58689128885,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,2,0.1,18.365960108887197,11.760789922899146,11.760789922899146,1.263634550753832,0.8199846369343463,1.9922702141432937,0.00012188355475163445,0.00012213770459501406,0.00012213770459501395,0.01218835547516343,0.010607446120336726,1.9910630989637303,32571.332907867287,0.011582460021600127,0.000252959958743304,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,16285.666453933643,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,3,0.1,18.166893457068017,11.561723271079769,11.561723271079769,1.2616552687711358,0.8191928965852465,1.9914685984170817,0.00013453808033556553,0.0001349813904771364,0.00013498139047713657,0.013453808033556528,0.01169732992520703,1.9901242023341617,29464.267428181764,0.012054550054017454,0.00038664997555315495,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,14732.133714090882,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,4,0.1,17.967924771339558,11.362754585351556,11.362754585351556,1.2595767918152527,0.8183201075081771,1.9905851447124363,0.00014848766685876476,0.000149175493631599,0.00014917549363159863,0.014848766685876449,0.012896255062440033,1.9890868314354497,26652.880822656178,0.012484550010412931,0.0004881999338977039,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,13326.440411328089,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,5,0.1,17.769064307252847,11.163894121264898,11.163894121264898,1.2573942974807515,0.8173582265994369,1.9896117787096752,0.00016386075735536258,0.0001648619578964831,0.00016486195789648325,0.01638607573553624,0.01421449120264269,1.9879407055599891,24109.0358312281,0.012902490037959069,0.000590589945204556,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,12054.51791561405,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,6,0.1,17.570323386901244,10.965153200913102,10.965153200913102,1.2551027474228706,0.8162984677201534,1.9885396900829682,0.0001807976443969948,0.0001821976375935191,0.00018219763759351883,0.01807976443969946,0.015663135656204384,1.9866744848943712,21807.27284893439,0.013334510033018887,0.0006912499666213989,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,6,6,12,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,10903.636424467195,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,7,0.1,17.371714507929564,10.76654432194155,10.76654432194155,1.2526968801171625,0.8151312451017355,1.9873592785438534,0.00019945136908936024,0.0002013558617207905,0.0002013558617207904,0.01994513690893599,0.01725414887817118,1.985275665747167,19724.555119352215,0.013749930018093437,0.0007925399695523083,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,7,7,14,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,9862.277559676108,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,8,0.1,17.173251463149494,10.56808127716137,10.56808127716137,1.2501712037235524,0.8138461151597601,1.986060098865872,0.000219988644466898,0.00022252816177779084,0.00022252816177779162,0.021998864446689782,0.019000383744206633,1.983730466755683,17840.038177037288,0.014169030007906258,0.0008938199607655406,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,8,8,16,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,8920.019088518644,100.0,0.0001
smoke,A,A_covariance_burnin_smoke,FR--R,1582940024,9,0.1,16.974949471638112,10.369779285650061,10.369779285650061,1.2475199891176194,0.8124317173786862,1.9846308056388517,0.00024259079253579477,0.00024592618023867516,0.0002459261802386758,0.024259079253579452,0.020915606208185684,1.9820237057211818,16134.861231510782,0.014577490044757724,0.0009920199518091977,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,9,9,18,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,1.0000000000000016,100.00000000000003,1.0,1.0,1.0,9.999999999999999e-05,0.009999999999999992,1.0,8067.430615755391,100.0,0.0001
