tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,0,0.0,-4.597861727667885,0.8570488910497096,0.8570488910497096,919.159781881506,0.9019423484902004,1.2979984591672509,1.0295893135830227,13106.196282721994,0.27999999999999353,2.0800000000002496,1.9143799999999558,0.11225352194032678,0.000611449999269098,,0.0,0.0,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,1,0.2,-4.89188742488979,0.5630231938279585,0.5630231938279585,229.72880509405292,0.6832816812998859,1.0230373508162867,1.020072073163146,11464.4728717205,0.3181818181817963,1.762711864407091,0.9035119112974204,0.05958912506698144,0.0013796999701298773,,8.326323270869282e-15,6.716055974779793e-14,nan,nan,nan,nan,nan,1,1,1,1,1,0,0,0,2,2,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,2,0.2,-5.0368459683258475,0.41806465039192564,0.41806465039192564,181.0441127047079,0.5795945154489089,0.8537611528743047,1.012258846331525,10483.836436142079,0.358974358974361,1.5639097744364139,0.5663234751921531,0.03685845923250805,0.0019256899831816554,,2.5969346316804274e-14,1.0199687480690524e-13,nan,nan,nan,nan,nan,2,2,2,2,2,0,0,0,4,4,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,3,0.2,-5.130524118195742,0.3243865005221346,0.3243865005221346,215.67332265450625,0.5129818718135951,0.7363579423997253,1.005828305703126,9864.947986348867,0.401913875598094,1.429553264605309,0.409740395140768,0.024452263229508765,0.002447949955239892,,3.6591011343984167e-14,2.7861423455091485e-13,nan,nan,nan,nan,nan,3,3,3,3,3,0,0,0,6,6,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,4,0.2,-5.199633771327549,0.2552768473902862,0.2552768473902862,240.02106422298493,0.46021742963792567,0.646564416561233,1.0005246503695033,9464.98200517017,0.44641275465015956,1.3340459647251093,0.3181080530950146,0.016831372831824377,0.0029546599835157394,,4.631942936967709e-14,1.958850637790652e-13,nan,nan,nan,nan,nan,4,4,4,4,4,0,0,0,8,8,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,5,0.2,-5.253892210172965,0.20101840854482866,0.20101840854482866,241.94484060979528,0.41338404142058904,0.5725495776774491,0.9961427842640715,9206.453673550128,0.49178728248500925,1.2636908277787453,0.2547689680361308,0.011828534340658343,0.003478200000245124,,4.2275295374358643e-14,3.7612285962968116e-13,nan,nan,nan,nan,nan,5,5,5,5,5,0,0,0,10,10,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,6,0.2,-5.297591584393311,0.15731903432448058,0.15731903432448058,226.02947037034298,0.36969205509802333,0.508330882658344,0.9925172605228335,9043.144783736541,0.537297521395416,1.2104915736018396,0.20596945719297627,0.00841001731042418,0.003977789951022714,,2.6783915785604812e-14,4.239466801244123e-13,nan,nan,nan,nan,nan,6,6,6,6,6,0,0,0,12,12,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,7,0.2,-5.3329911840487,0.12191943466907243,0.12191943466907243,199.35621854408564,0.3282914120949116,0.45086528781276936,0.9895139236863865,8945.413650967013,0.5821946745530985,1.1694645030167172,0.16606353637994475,0.006015118023266052,0.004480419971514493,,7.704179562124289e-15,4.842069116921926e-13,nan,nan,nan,nan,nan,7,7,7,7,7,0,0,0,14,14,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,8,0.2,-5.361523247795468,0.09338737092241728,0.09338737092241728,168.02626613306327,0.28910930488320236,0.3986364169528171,0.9870235133293055,8893.182083836333,0.6257696570924748,1.1373413388906994,0.13262049812484034,0.004311552293076005,0.00497294997330755,,1.368225707917817e-14,2.1802338648803419e-13,nan,nan,nan,nan,nan,8,8,8,8,8,0,0,0,16,16,0,1,False,False,0.2
smoke,B,B_affine_equivariance_smoke,FR--KL,475586365,9,0.2,-5.3842685047693415,0.0706421139483353,0.0706421139483353,136.43510576507077,0.25236472864989373,0.3509196022659068,0.9849567140045676,8872.315915760151,0.6673963157772234,1.1118899302703389,0.10452495467669164,0.0030892892942413403,0.0054732399876229465,,1.9806030803037658e-14,2.0255699079723623e-13,nan,nan,nan,nan,nan,9,9,9,9,9,0,0,0,18,18,0,1,False,False,0.2
