tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,0,0.0,0.6151822881446403,47.42334689793595,47.42334689793595,1111018627.4547358,0.3453309550246906,2.9644356609282183,1.0,1.0,9.999999863553556e-10,1.0000000311494852,0.07026155331131005,4.506536311840562,8.900475705891067,0.0007184100104495883,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,4.450237852945533
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,1,1.0,-3.643451552139328,43.16471303504392,43.16471303504392,1110961479.0198474,0.0811916071422301,2.919212358984117,1.0000000182215343,2.6180339864082525,2.61803395398879e-09,1.0000000493710193,0.038967426795739925,4.2610659515226,3.279638979445011,0.0015380900003947318,0.00012088997755199671,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,1,0,1,1,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,1.6398194897225056
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,2,1.0,-5.846347561884653,40.96181702395266,40.96181702395266,1110917352.6365716,0.08040583894083349,2.8822372481012395,1.0000000000000009,4.39025687652314,4.390256868108333e-09,1.0000000311494854,0.046136167253136906,4.153915264835355,1.9146642239339906,0.0020861499942839146,0.00022399000590667129,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,2,0,2,2,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.9573321119669953
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,3,1.0,-7.307111618399434,39.50105296882949,39.50105296882949,1110880312.6493814,0.07962842141520435,2.8536760829917815,1.000000034692082,6.229736433091796,6.229736478158984e-09,1.0000000658415686,0.04702935673134082,4.072104785002145,1.3253434583598331,0.0026312999543733895,0.0003281999961473048,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,3,0,3,3,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.6626717291799166
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,4,1.0,-8.387767290759944,38.42039729902423,38.42039729902423,1110847844.2696292,0.07885922194012979,2.8317450031035585,1.0000000441525763,8.106376745728634,8.10637676784911e-09,1.000000075302065,0.045381976421785694,4.009858741272214,1.003567150796186,0.0031656099599786103,0.00044724997133016586,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,4,0,4,4,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.501783575398093
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,5,1.0,-9.240086262870207,37.56807832854354,37.56807832854354,1110818622.4989648,0.07809811843471497,2.8146941706091746,1.000000035398547,10.00644109904527,1.0006441077067075e-08,1.0000000665480344,0.0432585375026374,3.961813456993046,0.8031901191171449,0.0036715599708259106,0.0005424399278126657,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,5,0,5,5,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.40159505955857244
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,6,1.0,-9.941234053716576,36.866930535397785,36.866930535397785,1110791853.2188158,0.07734499758082991,2.801141883768438,1.0000000353143657,11.92256652079395,1.192256653335086e-08,1.000000066463852,0.04157691650582884,3.923847761663595,0.6673924928839363,0.0041788499802351,0.0006491399253718555,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,6,0,6,6,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.33369624644196816
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,7,1.0,-10.535455078368699,36.27270951209555,36.27270951209555,1110767017.9798763,0.07659975336416877,2.7900723906481937,1.0000000000000056,13.850366240098944,1.385036630768689e-08,1.0000000311494863,0.040620855075239715,3.89298484014222,0.5697369777640082,0.004691509995609522,0.0007485799142159522,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,7,0,7,7,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.2848684888820041
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,8,1.0,-11.05031121528055,35.75785337478514,35.75785337478514,1110743757.002084,0.07586228587930194,2.7807631688123924,0.9999999999999944,15.787023047763915,1.5787023074083806e-08,1.0000000311494843,0.04037227450072329,3.867132880078381,0.49635024456448773,0.005205510009545833,0.0008594299433752894,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,8,0,8,8,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.24817512228224387
smoke,C,C_diao_gaussian_smoke,FB--GVI,2083531526,9,1.0,-11.504053687231337,35.30411090261488,35.30411090261488,1110721808.9192486,0.07513250035074484,2.7727092676523557,1.0000000918153142,17.73062342006128,1.773062345780044e-08,1.000000122964801,0.04069616805910513,3.8448426285174158,0.43929361214449214,0.005708089971449226,0.0009549099486321211,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,9,0,9,9,0,0,0,1,False,False,1.0,0,nan,nan,nan,nan,9.999999937301292e-10,1.0000000000000007,1.0,1.0,1.0,9.999999824064886e-10,0.9999999903580752,1.0,0.21964680607224607
