tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_rho
smoke,G,G_local_spectral_smoke,FR--R,4219517623,0,0.0,1.1363272240079691,0.09199824263125334,nan,0.16075691290118735,0.3847671188505349,0.2506881940176362,0.8,0.8,0.8227366780467199,0.8227366780467212,1.6454733560934398,0.15361753329834046,0.23152607051005714,0.0023372789728455245,0.0,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.11905311883290955,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,1,0.2,1.1081403118090063,0.06381133043229048,nan,0.11187907246101103,0.32139989191832224,0.2085789017256507,0.828597235391481,0.8293094491994797,0.8521466711058554,0.8528791266339186,1.7055814437462458,0.11013715573505381,0.15919193244519192,0.0032206790056079626,0.0002521499991416931,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.081858151044872,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,2,0.2,1.0879973499267492,0.04366836855003342,nan,0.07677360708163788,0.266523262411379,0.1723980238265275,0.853224941238401,0.8544374125759133,0.8774743172263636,0.8787212480269269,1.757141093247545,0.07747890492477953,0.1081722688219531,0.0038741989992558956,0.00046673999167978764,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.05562330819209411,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,3,0.2,1.073866920459764,0.029537939083048137,nan,0.05204692888633522,0.21963373553562054,0.1416868883327893,0.8741837541667365,0.8757133429071748,0.8990287973819405,0.9006018583307963,1.8008226235993703,0.05361729790708913,0.07275263733535739,0.004546359006781131,0.0006911900127306581,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.03741016447526861,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,4,0.2,1.0641115437985094,0.019782562421793548,nan,0.03492055441231728,0.18002898449231097,0.11588823882201678,0.8918392437751079,0.8935374244932475,0.9171860709690403,0.9189325154224953,1.8374406530503158,0.03658883516798172,0.048501621528705685,0.005178998981136829,0.0009063500328920782,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.024940039360254147,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,5,0.2,1.0574676730465868,0.013138691669871028,nan,0.023226330628212687,0.14690364862127311,0.09440579521461509,0.906583792979847,0.9083368416046849,0.9323496727590448,0.9341525445116099,1.8678654015979554,0.024675807692568504,0.03209418964911376,0.005790908995550126,0.0011106100282631814,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.016503166860320818,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,6,0.2,1.0529944191622511,0.008665437785535302,nan,0.015336375664337824,0.11942480449359487,0.07664837858476875,0.9188079976372354,0.9205337054092205,0.9449212996735235,0.9466960535230249,1.8929574844545287,0.01647868033330961,0.021105043545746015,0.006408418994396925,0.0013121700612828135,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,6,6,6,6,6,6,6,12,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.010852433385536538,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,7,0.2,1.0500112340411254,0.005682252664409582,nan,0.01006592194144159,0.09678548203509753,0.062059264996127704,0.9288813175367803,0.9305240136764977,0.9552809118623402,0.9569702948186277,1.9135250007974545,0.010915396943339557,0.0138069373313888,0.0070037089753896,0.001510620058979839,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,7,7,7,7,7,7,7,14,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.007099671096266299,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,8,0.2,1.0480374029657291,0.0037084215890133,nan,0.0065741442668379,0.07823844119470862,0.050133203939170964,0.9371405767639467,0.9386657133749207,0.9637749062369473,0.9653433885230459,1.9302990689804582,0.007182126329501937,0.008994075672097045,0.007644799014087766,0.0017139900592155755,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,8,8,8,8,8,8,8,16,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.00462484746285122,2,0.05
smoke,G,G_local_spectral_smoke,FR--R,4219517623,9,0.2,1.0467398472415528,0.002410865864836964,nan,0.004276342846238507,0.06311419719239526,0.04042411958236339,0.9438844919908489,0.9452735482191654,0.97071048925046,0.97213902363409,1.9439231506081802,0.004699961142909112,0.005838481762240111,0.008254319021943957,0.0019224800635129213,,nan,nan,nan,0.9897964993198303,1.0052366805746804,nan,nan,nan,9,9,9,9,9,9,9,18,0,0,0,1,False,False,0.2,0,0.8271667861887243,2.205959241039798,0.8020407001360339,nan,0.9999999999999996,1.0500000000000003,0.9723645746526087,1.0209828033852397,1.0500000000000005,0.82273667804672,0.8227366780467211,1.0284208475584011,0.003002208181188621,2,0.05
