tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,0,0.0,0.729517036412616,1.0321021294066617,1.0321021294066617,3.462524344072011,1.4367338858721619,1.036724633772957e-15,1.0000000000000004,9.999999999999995,0.9999999999999993,1.0000000000000009,2.064204258813322,1.7553368418660742,0.0005317499744705856,,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,1,0.2,0.3579602698262181,0.6605453628202633,0.6605453628202633,2.2160155802061166,1.1493871086977294,2.602168751119634e-15,1.000000000000001,9.999999999999991,0.9999999999999991,1.0000000000000022,1.3210907256405269,1.1234155787942874,0.001435130019672215,,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,0,1,2,3,1,1,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,2,0.2,0.1201639392109235,0.4227490322049685,0.4227490322049685,1.4182499713318903,0.9195096869581837,2.656531676672631e-15,1.0000000000000009,9.999999999999984,0.9999999999999983,1.000000000000002,0.8454980644099376,0.7189859704283442,0.0019473399734124541,,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,0,2,4,6,2,2,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,3,0.2,-0.032025712382866,0.2705593806111795,0.2705593806111795,0.9076799816524239,0.7356077495665466,3.799883848897935e-15,1.0000000000000004,9.999999999999995,0.9999999999999986,1.000000000000004,0.5411187612223595,0.46015102107414,0.0024342500255443156,,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,0,3,6,9,3,3,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,4,0.2,-0.12942708940289016,0.17315800359115535,0.17315800359115535,0.5809151882575309,0.5884861996532378,4.575865943201388e-15,1.000000000000002,10.000000000000007,0.999999999999998,1.0000000000000033,0.34631600718231104,0.2944966534874499,0.002911289979238063,,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,0,4,8,12,4,4,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,5,0.2,-0.19176397069570594,0.11082112229833918,0.11082112229833918,0.3717857204847727,0.4707889597225901,6.286270106353278e-15,1.0000000000000013,10.000000000000034,0.9999999999999973,1.000000000000005,0.22164224459667883,0.18847785823196792,0.003386720025446266,,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,0,5,10,15,5,5,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,6,0.2,-0.23165957472310783,0.0709255182709373,0.0709255182709373,0.2379428611102946,0.37663116777807204,8.329709504885732e-15,1.0000000000000004,10.00000000000003,0.999999999999996,1.0000000000000075,0.14185103654187436,0.12062582926845941,0.003849530010484159,,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,0,6,12,18,6,6,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,7,0.2,-0.2571927613006455,0.04539233169339951,0.04539233169339951,0.15228343111055387,0.3013049342224575,6.905940251727826e-15,1.0000000000000002,10.000000000000009,0.9999999999999956,1.0000000000000049,0.09078466338679955,0.07720053073181402,0.004303729976527393,,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,0,7,14,21,7,7,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,8,0.2,-0.2735340007102698,0.029051092283775504,0.029051092283775504,0.0974613959107751,0.24104394737796625,7.725628486367624e-15,1.0000000000000002,10.000000000000007,0.9999999999999938,1.000000000000005,0.05810218456755184,0.04940833966836099,0.004792860010638833,,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,0,8,16,24,8,8,0,1,False,False,0.2
smoke,H,H_stl_cancellation_smoke,FR--R--STL,2964628020,9,0.2,-0.2839923939324289,0.018592699061616202,0.018592699061616202,0.0623752933829159,0.19283515790237277,7.660896980332287e-15,0.9999999999999993,9.999999999999988,0.9999999999999928,1.0000000000000024,0.037185398123233036,0.031621337387750865,0.005245169973932207,,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,0,9,18,27,9,9,0,1,False,False,0.2
