tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,0,0.0,0.729517036412616,1.0321021294066615,1.0321021294066615,3.462524344072011,1.4367338858721619,1.036724633772957e-15,1.0000000000000004,9.999999999999995,0.9999999999999993,1.0000000000000009,1.9999999999999996,2.064204258813322,1.7553368418660742,0.0005877100047655404,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.8776684209330371,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,1,0.1,0.6180235382883645,0.9206086312824104,0.9206086312824104,3.219749170269509,1.356914611375683,3.1919569281351617e-15,1.0000000000000007,10.000000000000009,0.999999999999999,1.000000000000002,2.000000000000001,1.8412172625648224,1.538872625140495,0.0015047600027173758,0.0001914099557325244,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,0,0,2,2,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.7694363125702475,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,2,0.1,0.34780959398702027,0.6503946869810652,0.6503946869810652,2.745747597358578,1.1405215359484144,3.541243149583682e-15,1.0000000000000002,10.000000000000016,0.999999999999999,1.0000000000000036,2.000000000000002,1.3007893739621315,0.9894307092946713,0.0020183800370432436,0.00032703991746529937,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,0,0,4,4,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.4947153546473356,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,3,0.1,0.23554165784223224,0.5381267508362784,0.5381267508362784,2.4570852296263577,1.0374263837364834,3.1650634097641917e-15,1.0000000000000004,10.000000000000002,0.9999999999999989,1.000000000000003,2.0000000000000013,1.0762535016725576,0.7792739713456543,0.0024980700109153986,0.0004569299053400755,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,0,0,6,6,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.3896369856728272,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,4,0.1,0.13720358574900704,0.4397886787430531,0.4397886787430531,2.2522166118864075,0.9378578556935515,3.920535519770261e-15,1.0000000000000002,10.000000000000009,0.9999999999999982,1.0000000000000029,2.0000000000000027,0.8795773574861072,0.5774813458689663,0.0029740900499746203,0.0005998698761686683,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,0,0,8,8,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.28874067293448313,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,5,0.1,0.1484709113229763,0.45105600431702136,0.45105600431702136,2.194708750687399,0.9497957720657862,4.372957393271619e-15,1.0000000000000007,10.00000000000002,0.9999999999999984,1.000000000000004,2.0000000000000036,0.9021120086340443,0.6185215913914014,0.003437030012719333,0.0007289398927241564,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,0,0,10,10,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.3092607956957007,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,6,0.1,0.07836087243869105,0.3809459654327372,0.3809459654327372,2.143429335401101,0.8728642110119272,4.3790053263895684e-15,1.0000000000000009,10.00000000000002,0.9999999999999983,1.0000000000000033,2.0000000000000044,0.7618919308654757,0.46042793999007897,0.0038784000207670033,0.0008495199144817889,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,0,0,12,12,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.23021396999503949,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,7,0.1,0.019316060881859887,0.3219011538759053,0.3219011538759053,2.0158100086357527,0.8023729231173065,4.4424920733287474e-15,1.000000000000001,10.000000000000016,0.9999999999999981,1.0000000000000038,2.000000000000004,0.6438023077518118,0.3405494873721525,0.004346319998148829,0.000997579947579652,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,0,0,14,14,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.17027474368607626,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,8,0.1,-0.03041841931400535,0.27216667368004005,0.27216667368004005,1.959240041914378,0.73778950071147,5.1886596478496e-15,1.0000000000000004,10.000000000000012,0.9999999999999982,1.0000000000000047,2.0000000000000036,0.5443333473600808,0.23443936436592167,0.004787910031154752,0.001118639949709177,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,0,0,16,16,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.11721968218296083,4
smoke,H,H_stl_cancellation_smoke,S--FB--GVI,500109109,9,0.1,-0.09422631482656074,0.20835877816748472,0.20835877816748472,1.6766174771235898,0.6455366421319316,5.139875916599906e-15,1.0000000000000013,10.000000000000012,0.9999999999999976,1.0000000000000042,2.000000000000003,0.41671755633496993,0.13654616212274984,0.005233910051174462,0.001244189916178584,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,0,0,18,18,0,0,0,1,False,False,0.1,0,nan,nan,nan,nan,0.10000000000000002,0.9999999999999998,1.0,1.0,1.0,0.9999999999999994,1.0000000000000002,1.0000000000000002,0.06827308106137492,4
