tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_batch_size,grid_condition,grid_dimension,grid_rho
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,0,0.0,3.967100758767716,1.3933148864984237,nan,3.561249838021438,0.5241553523313452,1.6466023944193793,0.7,0.7,0.20618923255024474,0.9177153415927755,0.6452648508826639,1.2735151788523145,3.4401584747792295,0.0007379199960269034,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,5.066597398328205,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,1,0.04,3.9043102863394696,1.3305244140701773,nan,3.39646969897452,0.49242485120041357,1.6288227037019156,0.699496764132804,0.7181069502717733,0.2114629687270751,0.9170555883416813,0.6587353621970599,1.228113292736313,3.2551235409018417,0.002386450010817498,0.0004237599787302315,,nan,nan,nan,nan,nan,nan,nan,nan,1,1,1,1,0,0,1,1,3,3,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,4.7940816053913204,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,2,0.04,3.862645921328009,1.2888600490587168,nan,3.323046813853027,0.49162045168255625,1.6110859162100881,0.7013151162155383,0.741464222901874,0.21800585246676513,0.9194394877741718,0.6697021232576797,1.2018103531340862,3.1049374066707243,0.0036447999882511795,0.0007970999577082694,,nan,nan,nan,nan,nan,nan,nan,nan,2,2,2,2,0,0,2,2,6,6,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,4.572890435699877,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,3,0.04,3.8191527996742227,1.2453669274049304,nan,3.221612818568122,0.4771806669473767,1.5955009779759295,0.7035096952994084,0.7590845120269759,0.22320184393157538,0.9223166290507512,0.680456938322659,1.1711010211047197,2.9695191811073514,0.0048322699731215835,0.0011411199811846018,,nan,nan,nan,nan,nan,nan,nan,nan,3,3,3,3,0,0,3,3,9,9,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,4.373449149969678,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,4,0.04,3.7726061120207732,1.1988202397514809,nan,3.1112753518819396,0.463251862164722,1.578017995297,0.7054176833713356,0.7744893013139728,0.2280156479374812,0.9248180432295852,0.6938840234448369,1.1373354430075004,2.8262291458971274,0.006012830010149628,0.00148511998122558,,nan,nan,nan,nan,nan,nan,nan,nan,4,4,4,4,0,0,4,4,12,12,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,4.1624144185975815,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,5,0.04,3.7270269371826807,1.1532410649133884,nan,3.012614975351336,0.4521125698028794,1.5587076533146473,0.7049977631610481,0.7988946846126246,0.23531925986963823,0.9242675186306912,0.7062731573339663,1.1054279427319171,2.683170726468349,0.007190709991846234,0.001820729929022491,,nan,nan,nan,nan,nan,nan,nan,nan,5,5,5,5,0,0,5,5,15,15,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,3.9517208063699334,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,6,0.04,3.675697062117181,1.1019111898478888,nan,2.8776010325946557,0.42719311525628206,1.5402206018400306,0.7092915894661491,0.8172254828753682,0.24071870733510783,0.9298968190225851,0.721098129390328,1.066856195450326,2.539481503297184,0.008382559986785054,0.002156719972845167,,nan,nan,nan,nan,nan,nan,nan,nan,6,6,6,6,0,0,6,6,18,18,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,3.7400981588599094,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,7,0.04,3.6413308261775503,1.067544953908258,nan,2.8233961031691788,0.4333169090903453,1.5193629296175393,0.7075544724070868,0.8424664029502485,0.245563735981633,0.9276194204865224,0.7315052893176078,1.0422945794845837,2.417524852498826,0.009574009978678077,0.002502949966583401,,nan,nan,nan,nan,nan,nan,nan,nan,7,7,7,7,0,0,7,7,21,21,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,3.56048281434197,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,8,0.04,3.603812661931954,1.0300267896626618,nan,2.7477941710876572,0.42986174860950405,1.4992264792085181,0.7117184346786567,0.8682966091409404,0.2504087766426188,0.9330784662842841,0.7427069313679898,1.0141463147643954,2.2982689635439137,0.010750390007160604,0.002865539980120957,,nan,nan,nan,nan,nan,nan,nan,nan,8,8,8,8,0,0,8,8,24,24,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,3.384845098479752,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,9,0.04,3.572370781486704,0.9985849092174117,nan,2.6844508498511654,0.432065510653585,1.4813465005593491,0.7098985898070345,0.8948783267020981,0.2557604739077699,0.9306926097728463,0.7565517612375904,0.992588726195162,2.197926819917677,0.011906419997103512,0.0031989499693736434,,nan,nan,nan,nan,nan,nan,nan,nan,9,9,9,9,0,0,9,9,27,27,0,1,False,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,3.237063172860179,1,10.0,8,0.5
