tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_batch_size,grid_condition,grid_dimension,grid_rho
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,0,0.0,2.74952872481243,0.17574285254313748,nan,0.532025656955391,0.21395249766138727,0.7584054437653315,0.7082333706220653,2.4471718457843687,0.6059195724212946,0.9285094709254736,1.3867323741885154,0.23920851790769132,0.31566043984374026,0.0006143100326880813,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,1,0,0,0,0,2,2,0,1,True,False,0.0,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.4648984559846671,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,1,0.04,2.743169860770976,0.16938398850168346,nan,0.5205702784632797,0.22550357700338836,0.7376625163509465,0.7069002804543124,2.5092776964445314,0.6059804303257686,0.9267617604987975,1.4065670964803432,0.23340562530665063,0.3009432227433122,0.002040970022790134,0.00039945001481100917,,nan,nan,nan,nan,nan,nan,nan,nan,1,2,2,2,0,0,1,1,5,5,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.44322322956172,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,2,0.04,2.737967598575163,0.1641817263058707,nan,0.5071066788684648,0.22589225059442894,0.7263348456433764,0.7076918018935138,2.5158326892814213,0.6164410075340053,0.9277994624530181,1.4188121649115146,0.22758034827672524,0.29065491858394654,0.003277230018284172,0.0007544599939137697,,nan,nan,nan,nan,nan,nan,nan,nan,2,3,3,3,0,0,2,2,8,8,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.4280708185698408,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,3,0.04,2.7357736375701966,0.1619877653009043,nan,0.4942873881933977,0.21186804967228676,0.7285448296380826,0.7089241247287735,2.5035970105257976,0.615883587229547,0.9294150646983229,1.4094169539995545,0.22272269182521787,0.2882454538988655,0.004480450006667525,0.0010977000347338617,,nan,nan,nan,nan,nan,nan,nan,nan,3,4,4,4,0,0,3,3,11,11,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.4245222066107424,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,4,0.04,2.7276149029460655,0.15382903067677312,nan,0.46881519557421647,0.20762681266171007,0.7123011684319085,0.7099211412333897,2.5414889520640678,0.6329568973797366,0.9307221751870473,1.4207272973689866,0.2123243229307004,0.27370719060806414,0.005668610043358058,0.001442830020096153,,nan,nan,nan,nan,nan,nan,nan,nan,4,5,5,5,0,0,4,4,14,14,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.40311053982114436,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,5,0.04,2.7165678325198117,0.14278196025051937,nan,0.4312762114832727,0.19126098380089754,0.6945785199040286,0.7099463164141087,2.5125321391990583,0.6480640058888487,0.9307551804007234,1.4346298376504467,0.19760843695692504,0.2553406716081007,0.006832250044681132,0.0017790200072340667,,nan,nan,nan,nan,nan,nan,nan,nan,5,6,6,6,0,0,5,5,17,17,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.37606069369813044,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,6,0.04,2.714250972732815,0.14046510046352267,nan,0.4312314902121209,0.19764886598844622,0.6850381790864484,0.7146534464662325,2.5759736427000854,0.6490859429020241,0.9369263310631613,1.445386876291273,0.19587883197424533,0.2478595305174254,0.00798590003978461,0.0021051199873909354,,nan,nan,nan,nan,nan,nan,nan,nan,6,7,7,7,0,0,6,6,20,20,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.3650426169832273,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,7,0.04,2.7061660770489624,0.13238020477967005,nan,0.4072838914087018,0.18427176986135796,0.6699579151594344,0.7127310627789959,2.6348400507872696,0.6504603235917817,0.9344060439171545,1.4469312986010379,0.18427240351341378,0.23127838553149646,0.009239230013918132,0.002454239991493523,,nan,nan,nan,nan,nan,nan,nan,nan,7,8,8,8,0,0,7,7,23,23,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.34062223441570577,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,8,0.04,2.702114137522931,0.12832826525363883,nan,0.40021863025447013,0.18334547269381468,0.659594279830969,0.7162359900666705,2.636514185156726,0.6509449927673405,0.9390010804072488,1.452210821088496,0.17897894799745095,0.2200762990866471,0.01045103999786079,0.0027991599636152387,,nan,nan,nan,nan,nan,nan,nan,nan,8,9,9,9,0,0,8,8,26,26,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.32412402293695586,1,10.0,8,0.5
smoke,J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,9,0.04,2.7027394082436365,0.1289535359743441,nan,0.4062181777254365,0.18493817112182723,0.6600788574937079,0.71436699579853,2.640363308648778,0.6433445827374246,0.9365507879597896,1.4480224984989916,0.17940919441518138,0.21843625320312754,0.01166480005485937,0.0031611999729648232,,nan,nan,nan,nan,nan,nan,nan,nan,9,10,10,10,0,0,9,9,29,29,0,1,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.3217085957793124,1,10.0,8,0.5
