tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,0,0.0,1.1054084071785961,0.08260049739379638,nan,0.2770762174495084,0.0770959897648273,0.5410803995874796,0.6899903447500086,1.9077713224531534,0.5619460215824845,0.9045924641828229,0.10095735783493841,0.13277453313413148,0.00040610000723972917,,nan,nan,nan,nan,nan,nan,nan,0,1,1,1,0,0,0,0,2,2,0,8,True,False,0.0
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,1,0.04,1.101700846948957,0.07889293716415735,nan,0.26428577357123895,0.07099541912997855,0.5317694431342547,0.6912498986919754,1.9313266893973045,0.5688844028158075,0.9062437670058324,0.0968901271456669,0.1264331582438149,0.0021097090211696923,,nan,nan,nan,nan,nan,nan,nan,1,9,9,9,0,0,1,1,5,5,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,2,0.04,1.098693916034617,0.07588600624981723,nan,0.2560131727404972,0.06961224295543457,0.5231177193885851,0.6932814566043448,1.9473721682623089,0.5736106993621781,0.9089071839537122,0.09342463122985395,0.1203399715862993,0.0036107790074311197,,nan,nan,nan,nan,nan,nan,nan,2,17,17,17,0,0,2,2,8,8,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,3,0.04,1.0943728622921802,0.07156495250738049,nan,0.24168954510465984,0.06737154105071627,0.5106245942334205,0.6959782686318454,1.9828245982134427,0.5840534352037325,0.9124427636266108,0.08874249383896948,0.11291012048090486,0.005134698993060738,,nan,nan,nan,nan,nan,nan,nan,3,25,25,25,0,0,3,3,11,11,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,4,0.04,1.0914742926147873,0.0686663828299876,nan,0.23313073183927255,0.06479516207649741,0.5019610524210891,0.6994416697344713,2.001675903638416,0.5896062055806236,0.9169833583779946,0.0853675699950803,0.10719921390431753,0.006607649032957852,,nan,nan,nan,nan,nan,nan,nan,4,33,33,33,0,0,4,4,14,14,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,5,0.04,1.0887243730885032,0.06591646330370349,nan,0.2254378869099135,0.06526451648847686,0.49303023586953937,0.7003418932539748,2.020470242751476,0.5951421961726593,0.9181635711418679,0.08221645918541057,0.1020045327388321,0.008070309006143361,,nan,nan,nan,nan,nan,nan,nan,5,41,41,41,0,0,5,5,17,17,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,6,0.04,1.0859227784690757,0.06311486868427596,nan,0.21818935921169644,0.0631497308147241,0.48394036366986903,0.7026432064267997,2.032592618986592,0.5987129182069385,0.9211806431483115,0.07877145704036356,0.09613043779975022,0.009564678999595344,,nan,nan,nan,nan,nan,nan,nan,6,49,49,49,0,0,6,6,20,20,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,7,0.04,1.0817466778646891,0.0589387680798894,nan,0.2051522215104857,0.05968654753015819,0.4704305713653874,0.7043985195742722,2.0671650449359094,0.6088964433443705,0.9234818971550773,0.07396428842908787,0.08889353764593118,0.011097298993263394,,nan,nan,nan,nan,nan,nan,nan,7,57,57,57,0,0,7,7,23,23,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,8,0.04,1.0786301007152919,0.05582219093049212,nan,0.1952483544278377,0.057210968089259503,0.4597921308241607,0.7054185576337418,2.0911998133110217,0.6159760352792595,0.9248191894067682,0.07034007435785776,0.083528483095686,0.012561089009977877,,nan,nan,nan,nan,nan,nan,nan,8,65,65,65,0,0,8,8,26,26,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,9,0.04,1.076280302614352,0.053472392829552184,nan,0.18859049777066003,0.056887511953611025,0.4511190047753107,0.7072219537333971,2.1082348062602962,0.620993799412133,0.9271834812176571,0.0675190053394486,0.07906017583890537,0.014025279029738158,,nan,nan,nan,nan,nan,nan,nan,9,73,73,73,0,0,9,9,29,29,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,10,0.04,1.0726394193826794,0.04983150959787963,nan,0.17511995126370206,0.05124680305841709,0.4384377132446172,0.7082601250012267,2.1454127131484335,0.631944785319442,0.9285445465029245,0.0634146379919359,0.0736723909003922,0.015474679006729275,,nan,nan,nan,nan,nan,nan,nan,10,81,81,81,0,0,10,10,32,32,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,11,0.04,1.0698481062398062,0.047040196455006456,nan,0.16570828995531414,0.05108482637437138,0.42729038787774043,0.7111975390687532,2.1724200187039484,0.6398999567448456,0.9323955607234683,0.06019376840063078,0.06894225569080574,0.01692708901828155,,nan,nan,nan,nan,nan,nan,nan,11,89,89,89,0,0,11,11,35,35,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,12,0.04,1.067425871330648,0.044617961545848184,nan,0.15705968035255927,0.04954704163884322,0.4177883404723643,0.713134031590215,2.2036700564837104,0.6491048515862561,0.9349343448603609,0.057442184272342135,0.06529064661997601,0.018388139025773853,,nan,nan,nan,nan,nan,nan,nan,12,97,97,97,0,0,12,12,38,38,0,8,True,False,0.04
smoke,J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,13,0.04,1.0662424270925612,0.04343451730776149,nan,0.15319024011370153,0.04817129608200868,0.4130257599419241,0.7156596624213871,2.2160859741400554,0.6527620380892522,0.9382455022331694,0.05601055981207246,0.0631608911911696,0.019846128998324275,,nan,nan,nan,nan,nan,nan,nan,13,105,105,105,0,0,13,13,41,41,0,8,True,False,0.04
