tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_batch_size,grid_condition,grid_dimension,grid_rho
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,0,0.0,2.74952872481243,0.17574285254313748,nan,0.532025656955391,0.21395249766138727,0.7584054437653315,0.7082333706220653,2.4471718457843687,0.6059195724212946,0.9285094709254736,1.3867323741885154,0.23920851790769132,0.31566043984374026,0.0005764999659731984,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,1,0,0,0,0,2,2,0,8,True,False,0.0,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.4648984559846671,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,1,0.04,2.74112165278323,0.1673357805139375,nan,0.5089530365008307,0.20715366902263216,0.7434962870999031,0.7094420897578572,2.45125623834427,0.6124600157201475,0.9300941282034628,1.394693387494645,0.2281118797997631,0.2983447060272071,0.0019604300032369792,0.00034661003155633807,,nan,nan,nan,nan,nan,nan,nan,nan,1,9,9,9,0,1,2,3,3,3,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.439396185508415,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,2,0.04,2.7306077868111656,0.15682191454187322,nan,0.47723584518685547,0.20018602802021151,0.7230058736244704,0.7120551759458205,2.4677866062994345,0.6217577689387187,0.9335199414657461,1.4118167508560213,0.21529386440692946,0.278471624994532,0.003119259956292808,0.0006555700092576444,,nan,nan,nan,nan,nan,nan,nan,nan,2,17,17,17,0,2,4,6,4,4,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.4101275046045858,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,3,0.04,2.7212680376015452,0.1474821653322529,nan,0.45127840127977537,0.19507461738711185,0.7038339940299135,0.7132503404483909,2.4835178304199155,0.6337091712465851,0.9350868283225122,1.4259039310805075,0.2034673837353133,0.260114473114549,0.004278120002709329,0.0009573900024406612,,nan,nan,nan,nan,nan,nan,nan,nan,3,25,25,25,0,3,6,9,5,5,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.38309145419071455,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,4,0.04,2.7122710821420126,0.13848520987272028,nan,0.42891889836433605,0.19419461294546078,0.6819786736414342,0.7164962326636358,2.523439425481654,0.6432285659230836,0.9393422641554935,1.44058364768284,0.19224419375387397,0.24127525009149822,0.005397069966420531,0.0012530300300568342,,nan,nan,nan,nan,nan,nan,nan,nan,4,33,33,33,0,4,8,12,6,6,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.3553454189266736,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,5,0.04,2.70524434234591,0.13145847007661748,nan,0.40819400348872437,0.18739936706911975,0.6678810302836634,0.7175359837067896,2.51224822681324,0.6523186567499484,0.9407054005608353,1.4507469240168511,0.18293487679246767,0.22756125122569087,0.006500349962152541,0.001545279985293746,,nan,nan,nan,nan,nan,nan,nan,nan,5,41,41,41,0,5,10,15,7,7,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.3351477124885612,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,6,0.04,2.698740237529278,0.1249543652599856,nan,0.3916022137502573,0.1873597902601972,0.6505941871267866,0.7203453591045206,2.5366393597842922,0.6594979933561035,0.9443885532791075,1.465241729364783,0.17510456542993258,0.2140641597066268,0.00767609995091334,0.0018829499604180455,,nan,nan,nan,nan,nan,nan,nan,nan,6,49,49,49,0,6,12,18,8,8,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.31526946290301666,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,7,0.04,2.6922160859418875,0.11843021367259521,nan,0.37216687790668523,0.18459761251592097,0.6341962973141616,0.7210478739436109,2.5609642142658076,0.6674129638603985,0.945309565629865,1.4789979398161701,0.1669484749330079,0.20235802313372667,0.008823699958156794,0.0022039299365133047,,nan,nan,nan,nan,nan,nan,nan,nan,7,57,57,57,0,7,14,21,9,9,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.2980288963594836,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,8,0.04,2.6848222709777003,0.11103639870840798,nan,0.34849244278904823,0.17815975222564367,0.6167257107978371,0.7206247299327991,2.5796689810005176,0.6758333589056121,0.9447548145578293,1.4934680080314653,0.157344839483731,0.1898626628432362,0.009968400001525879,0.0024981999304145575,,nan,nan,nan,nan,nan,nan,nan,nan,8,65,65,65,0,8,16,24,10,10,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.279625976725662,8,10.0,8,0.5
smoke,J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,9,0.04,2.6781161292052986,0.10433025693600628,nan,0.3271598069313366,0.17086660502246426,0.6004668628645242,0.7222586957437832,2.609364666015561,0.6801671958779385,0.946896979546941,1.504983114769231,0.1483958982550574,0.17762091052455845,0.011099659954197705,0.002807639946695417,,nan,nan,nan,nan,nan,nan,nan,nan,9,73,73,73,0,9,18,27,11,11,0,8,True,False,0.04,0,nan,nan,nan,nan,0.10000000000000009,1.500000000000001,0.33949396452087927,2.0369637871252753,5.999999999999999,0.20618923255024438,0.9177153415927768,2.9455604650034917,0.26159656589953095,8,10.0,8,0.5
