tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,0,0.0,1.2509287525332629,0.001892510912746781,nan,0.003053850066544693,0.05773505082235046,0.032635482425984026,0.8258863283630489,0.8305400098060789,0.9743419847079368,0.9798321799777725,1.954167193310377,0.003624951010468592,0.004894859560642548,0.0004262999864295125,0.0,,nan,nan,nan,nan,nan,nan,nan,nan,0,1,1,1,0,0,0,0,2,2,0,4,True,False,0.0,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0028873629550425083
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,1,0.125,1.2505838770173863,0.001547635396870195,nan,0.002484654161437828,0.05192633870436318,0.030462159475802456,0.824219693838131,0.8367520084085999,0.9723757674029355,0.987160804801215,1.9582213144876237,0.0029709656767157346,0.004037399905889936,0.0013692799839191139,0.0003131700213998556,,nan,nan,nan,nan,nan,nan,nan,nan,1,5,5,5,0,1,2,3,3,3,0,4,True,False,0.125,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0023815675972996535
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,2,0.12307692307692308,1.2504245841891308,0.0013883425686147532,nan,0.002212426633602017,0.04872479838283215,0.03053896601629979,0.8248456510928455,0.8353578661629537,0.9731142424363092,0.9855160611168385,1.957165474740713,0.002658233673654867,0.0036664630402241157,0.0020770099945366383,0.0005637800204567611,,nan,nan,nan,nan,nan,nan,nan,nan,2,9,9,9,0,2,4,6,4,4,0,4,True,False,0.12307692307692308,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.00216276063229605
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,3,0.12121212121212122,1.2501673260140682,0.0011310843935521397,nan,0.001801605384334486,0.043965618253348916,0.0275762083205385,0.8254432054704232,0.8402935667179767,0.9738192090863492,0.991338969318064,1.9592487621741106,0.00216873006697801,0.0029893884958654797,0.0027677699690684676,0.0008038399973884225,,nan,nan,nan,nan,nan,nan,nan,nan,3,13,13,13,0,3,6,9,5,5,0,4,True,False,0.12121212121212122,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0017633702242642445
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,4,0.11940298507462686,1.2501027019712727,0.0010664603507566373,nan,0.0016829339665540635,0.04232695538060974,0.02765510122310437,0.824242246765505,0.8461244367893278,0.9724023742896993,0.998217956562174,1.9652435383646973,0.0020573823530840745,0.002861480902481675,0.0034374099923297763,0.001048550009727478,,nan,nan,nan,nan,nan,nan,nan,nan,4,17,17,17,0,4,8,12,6,6,0,4,True,False,0.11940298507462686,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0016879205321475297
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,5,0.11764705882352941,1.2498654462138126,0.0008292045932964953,nan,0.001336038030951195,0.03831941130446449,0.020661036862799964,0.8302138772600698,0.8494270742075205,0.9794474240843232,1.0021142534087273,1.9795371975046403,0.0016203964051324038,0.0021487490135144813,0.004087799985427409,0.001283060002606362,,nan,nan,nan,nan,nan,nan,nan,nan,5,21,21,21,0,5,10,15,7,7,0,4,True,False,0.11764705882352941,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.001267496692079031
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,6,0.11594202898550725,1.249647563950953,0.0006113223304369253,nan,0.0009886511749925388,0.032968100531775964,0.017751619506684815,0.8327327395963825,0.8455534089843404,0.9824190598212087,0.9975442847192976,1.9780943548550296,0.0011893790013638589,0.00157413202244639,0.004758559982292354,0.0015177400200627744,,nan,nan,nan,nan,nan,nan,nan,nan,6,25,25,25,0,6,12,18,8,8,0,4,True,False,0.11594202898550725,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000928543593876106
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,7,0.11428571428571428,1.2496967734389746,0.0006605318184584874,nan,0.0010512256205209673,0.03361475453838934,0.020892839759181797,0.8302053407264949,0.8444989039252307,0.9794373530820796,0.9963002290703634,1.97327093127081,0.0012782014736258673,0.0017472467187387064,0.005426279967650771,0.0017662100144661963,,nan,nan,nan,nan,nan,nan,nan,nan,7,29,29,29,0,7,14,21,9,9,0,4,True,False,0.11428571428571428,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.0010306598966740262
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,8,0.11267605633802817,1.2496283088386728,0.0005920672181567443,nan,0.0009481650083438321,0.03201523949416368,0.01926780028984136,0.8320210422593826,0.842845197020367,0.9815794326569982,0.9943492631656442,1.9723576536349081,0.0011432973484013776,0.0015499832222861632,0.006078879989217967,0.0020007300190627575,,nan,nan,nan,nan,nan,nan,nan,nan,8,33,33,33,0,8,16,24,10,10,0,4,True,False,0.11267605633802817,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000914298782533202
smoke,K,K_decreasing_steps_smoke,FR--R--STL,2750954248,9,0.1111111111111111,1.2494188379835978,0.00038259636308168865,nan,0.0005886224822841836,0.024552189157518396,0.01905623241962813,0.8317128157644915,0.8503545176557491,0.9812158014834845,1.0032084077239374,1.9691458447149324,0.0007352735219819242,0.0010667538301408225,0.006740479962900281,0.0022294200607575476,,nan,nan,nan,nan,nan,nan,nan,nan,9,37,37,37,0,9,18,27,11,11,0,4,True,False,0.1111111111111111,0,nan,nan,nan,nan,0.9999999999999997,1.3000000000000005,0.8476349591058746,1.101925446837637,1.3,0.9438025076783967,0.9438025076783975,1.1797531345979964,0.000629253087476527
