tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,repair,equivariance_error_mean,equivariance_error_covariance,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size
smoke,L,L_logistic_smoke,FR--R--STL,594425521,0,0.0,18.33747868142607,4.860157444134774,nan,1.3251778106207432,2.12530410314097,4.723168550586812,1.0,1.0,1.3126074090387243,5.712812086755255,56.107695931653616,70.45091343180643,0.0004282000008970499,,nan,nan,nan,nan,0.6931959579744933,0.57,0.25002438870578114,0,0,0,0,0,0,0,0,0,0,0,4,False,False,0.0
smoke,L,L_logistic_smoke,FR--R--STL,594425521,1,0.02,17.184542362858,3.7072211255667042,nan,1.023515856683616,1.7552365602614324,4.299963324672786,0.925813448912024,0.9940919206727105,1.3048160192010831,5.289145810994242,39.62930009353403,56.02960157271165,0.0023377499892376363,,nan,nan,nan,nan,0.7123215794455574,0.65,0.2595698570100252,1,4,4,4,0,1,2,3,1,1,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,2,0.02,16.336744114444606,2.8594228771533103,nan,0.8084546633377455,1.4922698006431976,3.7311643327811237,0.8260790447253169,0.9875335963653981,1.2962015350790652,4.719388649877129,27.59050953030227,44.91741638044144,0.0038892299635335803,,nan,nan,nan,nan,0.7284908837611885,0.66,0.2675701500318329,2,8,8,8,0,2,4,6,2,2,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,3,0.02,15.619036507083536,2.1417152697922397,nan,0.6303538914660698,1.2157737305333631,3.3118787504382663,0.7525418173479197,0.9811000748105952,1.2877314640182074,4.299356219358327,18.602469913284374,34.59721375817612,0.005413219972979277,,nan,nan,nan,nan,0.7487705038892395,0.66,0.2774487648113816,3,12,12,12,0,3,6,9,3,3,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,4,0.02,15.058349928774422,1.5810286914831266,nan,0.4917342596019749,0.9504288017483107,2.99527400643268,0.697016199100085,0.9749526876624224,1.2796437163802377,3.9821914367626245,12.261437068065284,25.908580118555943,0.0069452099851332605,,nan,nan,nan,nan,0.7714965013965785,0.66,0.2882484258799581,4,16,16,16,0,4,8,12,4,4,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,5,0.02,14.650335196928538,1.1730139596372418,nan,0.3962573670606145,0.7419373040254804,2.684492883154892,0.6424922657005866,0.9688570929416336,1.2716329529658397,3.6707148066711133,7.974188056397731,19.20343207084817,0.008462110010441393,,nan,nan,nan,nan,0.7936733913648889,0.66,0.2984614310795671,5,20,20,20,0,5,10,15,5,5,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,6,0.02,14.382265919998451,0.9049446827071552,nan,0.3300417477566352,0.6186790703032692,2.3635453198847403,0.5861670979768374,0.9629863743290422,1.2639875659284552,3.348756488907317,5.431874775730526,14.756678889448636,0.009999350004363805,,nan,nan,nan,nan,0.8091136476865495,0.66,0.30534367020211045,6,24,24,24,0,6,12,18,6,6,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,7,0.02,14.237457958197815,0.7601367209065195,nan,0.29244217011803675,0.5610193522479366,2.1377199112464913,0.54653313538375,0.9570505749785678,1.2562033356407656,3.1223115392765153,4.1950326736810695,12.357907603263845,0.011506829992868006,,nan,nan,nan,nan,0.8172918041730718,0.66,0.30890028681547554,7,28,28,28,0,7,14,21,7,7,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,8,0.02,14.114466911607932,0.6371456743166366,nan,0.2615429196179849,0.5105226248652472,1.9380148879353172,0.5114676048496325,0.9513306008013385,1.2486920237759194,2.9219921912352236,3.218288265585077,10.24394842350761,0.013013149960897863,,nan,nan,nan,nan,0.8259107018177303,0.66,0.31259182700160076,8,32,32,32,0,8,16,24,8,8,0,4,False,False,0.02
smoke,L,L_logistic_smoke,FR--R--STL,594425521,9,0.02,14.003387790518234,0.5260665532269382,nan,0.2336962674859381,0.4588203498231212,1.7684761201553982,0.48169825095565855,0.9457887667137085,1.2414183142753794,2.7519203706482562,2.3916290228546275,8.22949960490098,0.014522520010359585,,nan,nan,nan,nan,0.8369988082809654,0.66,0.3172596256271123,9,36,36,36,0,9,18,27,9,9,0,4,False,False,0.02
