tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_feature_condition,grid_prior_precision
smoke,L,L_logistic_smoke,FR--R,594425521,0,0.0,18.33811858426424,4.861114402004329,nan,1.3250894197872558,2.124297433000356,4.719782168795441,1.0,1.0,1.312131272714261,5.70944983936268,11.218780640987406,56.124403158205205,70.46552741160029,0.0004192699561826885,0.0,,nan,nan,nan,nan,nan,0.6931471805579441,0.47,0.24999999999999933,0,0,0,0,0,0,0,0,0,0,0,1,False,False,0.0,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,201.15969708038392,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,1,0.04,16.366538278356288,2.8895340960963765,nan,0.816052181205026,1.5288429245284791,3.622361986130492,0.8074825462913657,0.9871722512409252,1.2952926154415096,4.610305891448668,8.982148555389307,27.62678049070859,45.528636911697376,0.009599670011084527,0.0004566299612633884,,nan,nan,nan,nan,nan,0.7258424999166836,0.66,0.266265447710033,1,1,1,1,1,1,1,2,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,129.9717343509462,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,2,0.04,15.37914236303781,1.9021381807778983,nan,0.567743866976778,1.1809877745496804,2.898083854915393,0.6803724523110141,0.9750130991234428,1.2793325704413605,3.884590672038563,7.500989769617605,15.418190870078774,31.38841763442621,0.011679229966830462,0.0008860399830155075,,nan,nan,nan,nan,nan,0.7510275781392829,0.66,0.2785264932035163,2,2,2,2,2,2,2,4,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,89.60529801036174,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,3,0.04,14.820154705523079,1.3431505232631675,nan,0.4267125232096829,0.9583608721400676,2.396124471060105,0.5922549138841091,0.9636009776888887,1.26435314821002,3.3814974058026017,6.47314589757913,9.453051106132058,22.73236455866647,0.01366065995534882,0.0013132300227880478,,nan,nan,nan,nan,nan,0.7701121223544262,0.66,0.28757039446076943,3,3,3,3,3,3,3,6,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,64.8946475889061,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,4,0.04,14.473510664283374,0.996506482023463,nan,0.3372224273436726,0.8054487405812499,2.030784048079261,0.5281139678958701,0.952921107692945,1.25033460878094,3.0152956194017007,5.72596696230794,6.214487926091252,17.087759221532867,0.0156365399598144,0.001751240051817149,,nan,nan,nan,nan,nan,0.7847641326669321,0.66,0.29433689116281214,4,4,4,4,4,4,4,8,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,48.780852071224494,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,5,0.04,14.243544701378616,0.7665405191187045,nan,0.2756872911751324,0.6945827192409851,1.7538573628842786,0.47949948327375197,0.9429300117985242,1.2372197734235837,2.7377406102293467,5.161733914281009,4.307175429004425,13.218391657495667,0.017573969962541014,0.002179620089009404,,nan,nan,nan,nan,nan,0.7962144433983664,0.66,0.2995039178267682,5,5,5,5,5,5,5,10,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,37.73487206276082,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,6,0.04,14.082983374337372,0.6059791920774611,nan,0.2307975950309485,0.6107165991489184,1.536992505794979,0.4414390442139937,0.9335772722223027,1.2249424474614756,2.520442980910488,4.722566299494496,3.110290944680176,10.458704818304286,0.01952202001120895,0.002599150117021054,,nan,nan,nan,nan,nan,0.8053141586489168,0.66,0.30352738407837193,6,6,6,6,6,6,6,12,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,29.85672527240455,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,7,0.04,13.96633888925712,0.4893347069972087,nan,0.19656953623979104,0.545069009014319,1.3626516358008447,0.41085515543476425,0.9248131272909035,1.2134373372235214,2.3458320785408744,4.372385627622384,2.3203540879649056,8.426672979128792,0.021510169957764447,0.0030212701531127095,,nan,nan,nan,nan,nan,0.8126526349988069,0.66,0.30671434543757886,7,7,7,7,7,7,7,14,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,24.055833343524363,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,8,0.04,13.878883041908676,0.4018788596487646,nan,0.1695786903437743,0.4922176442729952,1.2194760974624974,0.3857534709266011,0.9165910626132161,1.2026434277617235,2.2025213484455657,4.0876405052709135,1.7772491759659585,6.890939244208693,0.023497118963859975,0.0034414101392030716,,nan,nan,nan,nan,nan,0.818645246267677,0.65,0.3092756503390214,8,8,8,8,8,8,8,16,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,19.671735980452656,2,10.0,1.0
smoke,L,L_logistic_smoke,FR--R,594425521,9,0.04,13.81161522206827,0.33461103980835816,nan,0.1477361860416552,0.4486585599579661,1.099810631151224,0.3647890714041512,0.9088685267710077,1.1925049115042319,2.082832066130294,3.8523356590896953,1.391058869223675,5.704965446106061,0.025449729000683874,0.0038619101396761835,,nan,nan,nan,nan,nan,0.823590988235212,0.65,0.31135949582945904,9,9,9,9,9,9,9,18,0,0,0,1,False,False,0.04,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,16.286107024919946,2,10.0,1.0
