tier,experiment,job_id,method,seed,iteration,step_size,objective,objective_gap,exact_gaussian_kl,w2_squared,mean_error,covariance_error,covariance_min_eigenvalue,covariance_max_eigenvalue,relative_covariance_min_eigenvalue,relative_covariance_max_eigenvalue,gaussian_core_rate,fisher_rao_residual_squared,bures_wasserstein_residual_squared,wall_time_seconds,algorithm_seconds,repair,equivariance_error_mean,equivariance_error_covariance,equivariance_error_back,local_gamma,local_lambda,predictive_nll,classification_error,brier,iterations,gradient_evaluations,hessian_evaluations,oracle_pairs,expectation_evaluations,matrix_exponentials,matrix_square_roots,eigendecompositions,cholesky_factorizations,cholesky_solves,roundoff_repairs,batch_size,quadratic_rescue,raw_mean_ablation,normalized_step_size,problem_instance,local_kl_gamma,local_discrete_rate,predicted_contraction,local_radius,alpha,beta,alpha_star,beta_star,kappa_star,lambda_0_star,lambda_0_star_max,lambda_max_star,certified_gap,grid_dimension,grid_feature_condition,grid_prior_precision
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,0,0.0,18.33811858426424,4.861114402004329,nan,1.3250894197872558,2.124297433000356,4.719782168795441,1.0,1.0,1.312131272714261,5.70944983936268,11.218780640987406,56.124403158205205,70.46552741160029,0.000510629964992404,0.0,,nan,nan,nan,nan,nan,0.6931471805579441,0.47,0.24999999999999933,0,0,0,0,0,0,0,0,0,0,0,4,False,False,0.0,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,201.15969708038392,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,1,0.015,17.27705678019568,3.8000525979357676,nan,1.062048853119547,1.8339206560437362,4.089428456713541,0.8894248137146071,0.9912626921097607,1.3006056488735307,5.07836503349612,9.925156850303537,39.78228814281825,57.54834936099114,0.002638000005390495,0.00019729998894035816,,nan,nan,nan,nan,nan,0.7087058340080071,0.66,0.25777015673325127,1,4,4,4,0,0,2,2,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,164.28470700734914,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,2,0.015,16.35917637692681,2.8821721946669,nan,0.8343783257898619,1.6131547690466166,3.226609794353587,0.7379777816070251,0.981636440584707,1.2879476740838545,4.213735661501767,8.174709308407493,26.121912806582813,45.84245546310626,0.004341689986176789,0.00035501999082043767,,nan,nan,nan,nan,nan,0.7217190281394211,0.65,0.2642303005153971,2,8,8,8,0,0,4,4,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,130.86759998991144,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,3,0.015,15.484356937306984,2.007352755047073,nan,0.6276133378406228,1.3336483751435735,2.553453710530497,0.619701721101235,0.9721410974595812,1.2754327838781403,3.53855522559331,6.780467996869476,15.526170717874342,33.13669010523974,0.006061260006390512,0.0005347100086510181,,nan,nan,nan,nan,nan,0.7426272104281693,0.65,0.2744756218530854,3,12,12,12,0,0,6,6,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,94.59613499918598,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,4,0.015,14.773425201166972,1.2964210189070613,nan,0.45192269430873694,1.037705950449301,2.0412290790950807,0.5295922276807635,0.9630617680765682,1.2634652169057983,3.0241546958728556,5.705197396282587,8.462865229547734,21.841446981482484,0.0077692000195384026,0.0006927500362507999,,nan,nan,nan,nan,nan,0.7682915527366677,0.66,0.2867276267898329,4,16,16,16,0,0,8,8,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,62.35132297993684,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,5,0.015,14.253701772967334,0.776697590707423,nan,0.33386706293994506,0.7866858212842236,1.5618379102285733,0.44503707250552926,0.9541044632043236,1.2516575729546897,2.541429895844022,4.663030387978564,4.082931325101215,12.833879412472749,0.0094657699810341,0.0008429900044575334,,nan,nan,nan,nan,nan,0.7974525360961445,0.66,0.3001172734392466,5,20,20,20,0,0,10,10,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,36.63719537497128,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,6,0.015,13.937627995578454,0.4606238133185432,nan,0.2503978134738031,0.6320343460874727,1.104179118066425,0.3638549754080184,0.9456600495263395,1.2407033699681589,2.077623966168125,3.7145007367134206,1.9333868833177068,7.174474673844674,0.011098489980213344,0.0010020899935625494,,nan,nan,nan,nan,nan,0.8181193239548037,0.66,0.30916562001631737,6,24,24,24,0,0,12,12,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,20.48115163704705,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,7,0.015,13.795011702532857,0.3180075202729462,nan,0.21263980613146333,0.5629395009022337,0.8233337419692415,0.3135958305093218,0.937211674366526,1.229598614791131,1.790672452252554,3.155458170230455,1.1361085639916224,4.498081497542341,0.012731440016068518,0.00114869000390172,,nan,nan,nan,nan,nan,0.8298953584319578,0.66,0.31414335505467716,7,28,28,28,0,0,14,14,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,12.840785341791682,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,8,0.015,13.695845570135493,0.21884138787558172,nan,0.18724441630086291,0.5072071169585041,0.6000048182695431,0.2729421445124691,0.9291747405299946,1.2189937907472888,1.5586121208502373,2.747017570095324,0.6660766512396941,2.5608588298184327,0.014402360015083104,0.0012956999707967043,,nan,nan,nan,nan,nan,0.8425233354558433,0.66,0.31935659044690123,8,32,32,32,0,0,16,16,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,7.3105475172686765,2,10.0,1.0
smoke,L,L_logistic_smoke,S--FB--GVI,594425521,9,0.015,13.622484350039272,0.14548016777936112,nan,0.1647096260126209,0.4520174347422216,0.42745211266535194,0.24042156817574167,0.9213543250138845,1.2085334643512773,1.373134162021822,2.498307691522879,0.3764359564491151,1.1381480176650929,0.016080340021289885,0.0014795300085097551,,nan,nan,nan,nan,nan,0.8601920037223034,0.66,0.3264394145757879,9,36,36,36,0,0,18,18,0,0,0,4,False,False,0.015,0,nan,nan,nan,nan,1.0,10.096540163370989,0.1751482241083364,1.7687790703547355,10.098755379104917,1.312131272714261,5.709449839362681,5.709449839362681,3.249099508314459,2,10.0,1.0
