dataset,dimension,observations,method,seeds,objective_gap_median,mean_error_median,covariance_error_median,predictive_nll_median,classification_error_median,algorithm_seconds_median
ionosphere,34,281,FR--R,1,1.4210854715202004e-14,2.753870184638084e-12,1.063257579343428e-12,0.2726163339049997,0.1571428571428571,20.103659508633427
ionosphere,34,281,FR--KL,1,1.4210854715202004e-14,2.7554854368564706e-12,1.0291649559865432e-12,0.2726163339049995,0.1571428571428571,20.101855399552733
ionosphere,34,281,FB--GVI,1,1.4210854715202004e-14,8.166657823604845e-12,2.3636452158876297e-12,0.272616333905002,0.1571428571428571,18.28779912687605
ionosphere,34,281,Sq--NGVI,1,1.4210854715202004e-14,1.1381949006258382e-11,1.0722044182011951e-11,0.272616333904992,0.1571428571428571,15.667178110452369
ionosphere,34,281,FR--R--STL,5,0.0059891227774642,0.0668917387471874,0.1101334828398505,0.2724078658256174,0.1571428571428571,5.399613398767542
ionosphere,34,281,FR--KL--STL,5,0.0250971877187851,0.1347420536115032,0.2285212291973876,0.2723269915009632,0.1571428571428571,6.356525815150235
ionosphere,34,281,S--FB--GVI,5,0.0663417708406939,0.3006822856545439,0.2378792494404653,0.2710075460566366,0.1571428571428571,3.5502189155085944
ionosphere,34,281,Price--BBVI,5,0.0618260716284027,0.326035932585269,0.1409366590716169,0.2712935076097232,0.1571428571428571,2.268857581948396
ionosphere,34,281,BBVI--STL,5,0.1884685162359005,0.108526602447582,0.8481962612970835,0.2723354884870863,0.1571428571428571,2.580152849375736
ionosphere,34,281,Laplace,1,3.531503245215092,2.1064118278239308,1.3053254878830851,0.2828311982119235,0.1571428571428571,0.0082208790117874
pima,9,614,FR--R,1,-5.684341886080803e-14,1.2853888571009733e-12,2.2409060375996533e-13,0.5337391847506793,0.2597402597402597,27.861011316708755
pima,9,614,FR--KL,1,-5.684341886080803e-14,1.266803985230752e-12,2.307038653999199e-13,0.5337391847506792,0.2597402597402597,29.45297795359511
pima,9,614,FB--GVI,1,0.0,1.2657213813359965e-12,2.3224201603299945e-13,0.533739184750679,0.2597402597402597,26.98885109985713
pima,9,614,Sq--NGVI,1,0.0,1.3126461032033373e-12,2.6675446184414266e-13,0.5337391847506795,0.2597402597402597,28.360222956864163
pima,9,614,FR--R--STL,5,7.753695797418914e-05,0.0095373954510814,0.0143924092481899,0.5337741260642674,0.2597402597402597,1.9998457093606703
pima,9,614,FR--KL--STL,5,0.0001574739645207,0.0141431422512984,0.0187582049366361,0.5338060652355366,0.2597402597402597,1.967679970606696
pima,9,614,S--FB--GVI,5,0.0322902253149095,0.2532759505513514,0.0272133650473628,0.5339403362961321,0.2597402597402597,1.4804838033742271
pima,9,614,Price--BBVI,5,0.0270078976359968,0.2317318085165899,0.0212751245560026,0.5339226686965524,0.2597402597402597,1.541466430935543
pima,9,614,BBVI--STL,5,0.001719849960466,0.021941817727227,0.0793619612453299,0.533770765338978,0.2597402597402597,1.2544629647163674
pima,9,614,Laplace,1,0.0320023856770603,0.2521243453120346,0.0615327332328858,0.5324250215581641,0.2597402597402597,0.0095539700123481
sonar,61,167,FR--R,1,4.263256414560601e-14,2.13103181723254e-12,7.819239457922918e-13,0.4068138403245143,0.1951219512195122,17.26984030852327
sonar,61,167,FR--KL,1,0.0,2.131610576852973e-12,7.842216635213445e-13,0.4068138403245143,0.1951219512195122,17.44876140152337
sonar,61,167,FB--GVI,1,0.6203851928970465,0.1553796873153075,2.4660272248094657,0.4081093210723626,0.1951219512195122,15.407936339674052
sonar,61,167,Sq--NGVI,1,4.263256414560601e-14,2.1451331221637455e-12,7.993597763847821e-13,0.4068138403245144,0.1951219512195122,14.205558144662064
sonar,61,167,FR--R--STL,5,0.0103676626434747,0.0930731020130504,0.1548962527739593,0.4063728353429919,0.1951219512195122,9.983149863721335
sonar,61,167,FR--KL--STL,5,0.0200655364895396,0.1333201923785713,0.2102495767512625,0.4068853260011008,0.1951219512195122,10.087502210459206
sonar,61,167,S--FB--GVI,5,0.9550608860349712,0.7969516188582212,2.394330903155953,0.4047118786138649,0.1951219512195122,6.733860838343389
sonar,61,167,Price--BBVI,5,0.2527175510372359,0.6480374141173741,0.3424730819365877,0.4057158837471432,0.1951219512195122,3.5719048274331726
sonar,61,167,BBVI--STL,5,5.450484559417589,0.8735273158588325,10.912092029670823,0.4091925292200057,0.1951219512195122,3.3690053374157287
sonar,61,167,Laplace,1,3.721500269566434,2.4964526687377058,1.4629876028423336,0.4044917274847676,0.1951219512195122,0.0192992590018548
spambase,58,3680,FR--R,1,0.0006326306673827,0.0540421212745137,0.0488310572675032,0.2215341504899316,0.0597176981541802,279.98458547866903
spambase,58,3680,FR--KL,1,-2.273736754432321e-13,1.0832615716786387e-11,3.810201329832558e-12,0.2215441009944298,0.0597176981541802,274.7252751401393
spambase,58,3680,FB--GVI,1,0.5553125407162725,0.0734697161766329,2.1766616428173617,0.2215510544168095,0.0586319218241042,277.02256610401673
spambase,58,3680,Sq--NGVI,1,0.0014267502577922,0.0735322386671197,0.0695405498886355,0.2215410343022107,0.0597176981541802,267.3615598789765
spambase,58,3680,FR--R--STL,5,0.0042939225158988,0.0628649318530786,0.0867243460569809,0.2215585258871797,0.0597176981541802,21.36895952478517
spambase,58,3680,FR--KL--STL,5,0.3951298615791074,0.4550701736788141,0.633036489475741,0.2217102830323208,0.0597176981541802,22.309213452390395
spambase,58,3680,S--FB--GVI,5,1.143595797841499,1.0381007107405005,2.208767610644584,0.2212914314286897,0.0597176981541802,17.852950053056702
spambase,58,3680,Price--BBVI,5,0.5002211743278622,0.9398082772952088,0.4596123628211032,0.221539260623365,0.0597176981541802,14.494062571786344
spambase,58,3680,BBVI--STL,5,0.3291350712532903,0.1786073098062761,1.1419345929541458,0.221609298205601,0.0586319218241042,9.473384332784915
spambase,58,3680,Laplace,1,8.86769969368811,2.597657497254521,2.4865534402873126,0.2213379825067945,0.0618892508143322,0.048548407969065
wdbc,31,456,FR--R,1,1.6115109247039072e-11,6.070638067845595e-06,7.017773914716476e-06,0.0531540058932792,0.0088495575221238,24.920053135952912
wdbc,31,456,FR--KL,1,7.105427357601003e-14,2.4055292481543736e-12,1.0692945438683652e-12,0.0531540220826074,0.0088495575221238,25.46901195094688
wdbc,31,456,FB--GVI,1,2.8421709430404014e-14,2.4043274930116897e-12,1.0558403480480093e-12,0.0531540220826073,0.0088495575221238,24.60580310091609
wdbc,31,456,Sq--NGVI,1,7.850076144677587e-11,1.3463507363864844e-05,1.558048021872757e-05,0.0531539867605283,0.0088495575221238,22.287594785680994
wdbc,31,456,FR--R--STL,5,0.0004897490245809,0.0224076353500719,0.0302563918831057,0.0531552692045348,0.0088495575221238,3.881782687094528
wdbc,31,456,FR--KL--STL,5,0.0159878693592787,0.109929442332289,0.1722718694925084,0.0532304859613894,0.0088495575221238,4.235525309457444
wdbc,31,456,S--FB--GVI,5,0.0677671704105762,0.290604738387022,0.249767309440022,0.053444822139577,0.0088495575221238,2.858120703720488
wdbc,31,456,Price--BBVI,5,0.0606462753953565,0.3419769819514868,0.1367764336706931,0.053034418268318,0.0088495575221238,2.1395522262901068
wdbc,31,456,BBVI--STL,5,0.0307144607777019,0.0371700422752971,0.3481779594974558,0.0531731656150787,0.0088495575221238,1.8918415532098152
wdbc,31,456,Laplace,1,1.6126593636237343,1.5236387263613194,0.7361629561740525,0.064611573538518,0.0176991150442477,0.0072449099970981
