job_id,backend,fisher_rao_residual_squared,bures_wasserstein_residual_squared,quadrature_resolution_floor,independent_design_residual_squared
A_burnin_d20_k1000_lam1e-10,exact,0.0,0.0,,
A_burnin_d20_k1000_lam1e-12,exact,0.0,0.0,,
A_burnin_d20_k1000_lam1e-2,exact,0.0,0.0,,
A_burnin_d20_k1000_lam1e-4,exact,0.0,0.0,,
A_burnin_d20_k1000_lam1e-6,exact,0.0,0.0,,
A_burnin_d20_k1000_lam1e-8,exact,0.0,0.0,,
A_burnin_d20_k100_lam1e-10,exact,0.0,0.0,,
A_burnin_d20_k100_lam1e-12,exact,0.0,0.0,,
A_burnin_d20_k100_lam1e-2,exact,0.0,0.0,,
A_burnin_d20_k100_lam1e-4,exact,0.0,0.0,,
A_burnin_d20_k100_lam1e-6,exact,0.0,0.0,,
A_burnin_d20_k100_lam1e-8,exact,0.0,0.0,,
A_burnin_d20_k10_lam1e-10,exact,0.0,0.0,,
A_burnin_d20_k10_lam1e-12,exact,0.0,0.0,,
A_burnin_d20_k10_lam1e-2,exact,0.0,0.0,,
A_burnin_d20_k10_lam1e-4,exact,0.0,0.0,,
A_burnin_d20_k10_lam1e-6,exact,0.0,0.0,,
A_burnin_d20_k10_lam1e-8,exact,0.0,0.0,,
A_burnin_d20_k1e3_lam1e12_core,exact,0.0,0.0,,
A_burnin_d20_k1e3_lam1e8_core,exact,0.0,0.0,,
A_covariance_burnin_smoke,exact,0.0,0.0,,
B_affine_K1e0,exact,0.0,0.0,,
B_affine_K1e2,exact,0.0,0.0,,
B_affine_K1e4,exact,0.0,0.0,,
B_affine_K1e4_core,exact,0.0,0.0,,
B_affine_K1e6,exact,0.0,0.0,,
B_affine_K1e8,exact,0.0,0.0,,
B_affine_equivariance_smoke,exact,0.0,0.0,,
C_diao_gaussian_core,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_d10,exact,0.0,0.0,,
C_diao_gaussian_smoke,exact,0.0,0.0,,
D_logcosh_d10_k100_core,gauss_hermite_foc,5.77496520706002e-15,1.1785346445982895e-15,,
D_logcosh_d10_k100_rho0.1,gauss_hermite_foc,0.0007736990087063576,5.465529712686055e-06,,
D_logcosh_d10_k100_rho0.1,gauss_hermite_foc,0.0007736990087064598,1.155640394868106e-05,,
D_logcosh_d10_k100_rho0.1,gauss_hermite_foc,0.0007736990087070662,6.34978286523935e-06,,
D_logcosh_d10_k100_rho0.1,gauss_hermite_foc,0.0007736990087063143,8.901953000834675e-06,,
D_logcosh_d10_k100_rho0.1,gauss_hermite_foc,0.0007736990087063587,1.2516834819008672e-05,,
D_logcosh_d10_k100_rho1,gauss_hermite_foc,1.0521943822098168e-17,1.952623354001327e-18,,
D_logcosh_d10_k100_rho1,gauss_hermite_foc,1.0521959197160742e-17,1.2018313189596839e-18,,
D_logcosh_d10_k100_rho1,gauss_hermite_foc,1.0521946915766025e-17,2.5798165754018167e-18,,
D_logcosh_d10_k100_rho1,gauss_hermite_foc,1.0521926671595748e-17,3.513729717238735e-18,,
D_logcosh_d10_k100_rho1,gauss_hermite_foc,1.0521963422536e-17,3.07215447344125e-18,,
D_logcosh_d10_k100_rho5,gauss_hermite_foc,3.475689976317634e-27,6.2349675152469426e-27,,
D_logcosh_d10_k100_rho5,gauss_hermite_foc,3.6212332747328345e-27,4.1010503905117404e-27,,
D_logcosh_d10_k100_rho5,gauss_hermite_foc,3.807167328229478e-27,9.046727403750274e-27,,
D_logcosh_d10_k100_rho5,gauss_hermite_foc,3.489128616371677e-27,4.861434874951022e-27,,
D_logcosh_d10_k100_rho5,gauss_hermite_foc,3.558031444607828e-27,7.647895743493704e-27,,
D_logcosh_d10_k10_rho0.1,gauss_hermite_foc,7.6528907243859e-10,8.309970163472987e-11,,
D_logcosh_d10_k10_rho0.1,gauss_hermite_foc,7.652890724991166e-10,2.3832534052686015e-11,,
D_logcosh_d10_k10_rho0.1,gauss_hermite_foc,7.652890722200043e-10,2.7246600862898825e-11,,
D_logcosh_d10_k10_rho0.1,gauss_hermite_foc,7.652890723556793e-10,5.43613957323034e-11,,
D_logcosh_d10_k10_rho0.1,gauss_hermite_foc,7.652890725013638e-10,5.429437220622361e-11,,
D_logcosh_d10_k10_rho1,gauss_hermite_foc,7.751181170656203e-22,2.625121203523706e-22,,
D_logcosh_d10_k10_rho1,gauss_hermite_foc,7.7545967187787235e-22,3.3980650072324847e-22,,
D_logcosh_d10_k10_rho1,gauss_hermite_foc,7.752484061050088e-22,5.077073517864475e-22,,
D_logcosh_d10_k10_rho1,gauss_hermite_foc,7.754272000724506e-22,1.1909835876854893e-22,,
D_logcosh_d10_k10_rho1,gauss_hermite_foc,7.754717703506844e-22,2.2730216663194986e-22,,
D_logcosh_d10_k10_rho5,gauss_hermite_foc,5.814303932501434e-28,1.4595325579506851e-27,,
D_logcosh_d10_k10_rho5,gauss_hermite_foc,4.520340155781585e-28,1.4260679888222052e-27,,
D_logcosh_d10_k10_rho5,gauss_hermite_foc,6.017204792956567e-28,1.5492297901329896e-27,,
D_logcosh_d10_k10_rho5,gauss_hermite_foc,6.374424210208369e-28,1.1515460992954334e-27,,
D_logcosh_d10_k10_rho5,gauss_hermite_foc,5.951537976360646e-28,3.335268707286301e-28,,
D_logcosh_d10_k1_rho0.1,gauss_hermite_foc,3.1102899232163354e-27,1.4538452783809631e-27,,
D_logcosh_d10_k1_rho0.1,gauss_hermite_foc,3.1695084638606718e-27,1.33566866848643e-27,,
D_logcosh_d10_k1_rho0.1,gauss_hermite_foc,3.233631429744865e-27,1.3957803472892753e-27,,
D_logcosh_d10_k1_rho0.1,gauss_hermite_foc,2.789315823741322e-27,1.6895529045201825e-27,,
D_logcosh_d10_k1_rho0.1,gauss_hermite_foc,3.0998658554544798e-27,1.4626893316497789e-27,,
D_logcosh_d10_k1_rho1,gauss_hermite_foc,7.836835251620417e-29,2.084238314868882e-29,,
D_logcosh_d10_k1_rho1,gauss_hermite_foc,1.7439989618636014e-28,2.5006235107949505e-29,,
D_logcosh_d10_k1_rho1,gauss_hermite_foc,6.885344750610273e-29,1.099130728135632e-29,,
D_logcosh_d10_k1_rho1,gauss_hermite_foc,1.8176820305644591e-28,6.02811674596266e-30,,
D_logcosh_d10_k1_rho1,gauss_hermite_foc,5.979067970177287e-29,7.668369012138237e-30,,
D_logcosh_d10_k1_rho5,gauss_hermite_foc,5.079111066018574e-28,2.1127631340318065e-28,,
D_logcosh_d10_k1_rho5,gauss_hermite_foc,1.9286368717787437e-28,4.235960303601898e-28,,
D_logcosh_d10_k1_rho5,gauss_hermite_foc,2.693484734789767e-28,3.224218292040183e-28,,
D_logcosh_d10_k1_rho5,gauss_hermite_foc,1.7240355154108103e-28,2.3224178662503053e-28,,
D_logcosh_d10_k1_rho5,gauss_hermite_foc,2.4210403577323102e-28,3.8338739397165793e-28,,
D_logcosh_d2_k100_rho0.1,gauss_hermite_foc,0.0006781967365519613,6.806415172897217e-07,,
D_logcosh_d2_k100_rho0.1,gauss_hermite_foc,0.0006781967365529927,1.809753644459413e-05,,
D_logcosh_d2_k100_rho0.1,gauss_hermite_foc,0.000678196736553005,2.6788408085410975e-05,,
D_logcosh_d2_k100_rho0.1,gauss_hermite_foc,0.0006781967365502741,8.678806408253926e-06,,
D_logcosh_d2_k100_rho0.1,gauss_hermite_foc,0.0006781967365501229,3.5648664117518584e-06,,
D_logcosh_d2_k100_rho1,gauss_hermite_foc,5.455892229724704e-18,5.285676978011643e-18,,
D_logcosh_d2_k100_rho1,gauss_hermite_foc,5.45589150872271e-18,5.110664587672221e-18,,
D_logcosh_d2_k100_rho1,gauss_hermite_foc,5.455892465874404e-18,3.4525987811489146e-18,,
D_logcosh_d2_k100_rho1,gauss_hermite_foc,5.455894716104725e-18,5.3240350650514245e-20,,
D_logcosh_d2_k100_rho1,gauss_hermite_foc,5.455894809938359e-18,5.252721298497574e-18,,
D_logcosh_d2_k100_rho5,gauss_hermite_foc,1.4195357827850603e-30,5.505759091186694e-30,,
D_logcosh_d2_k100_rho5,gauss_hermite_foc,2.9640438189266247e-30,4.242226755900537e-29,,
D_logcosh_d2_k100_rho5,gauss_hermite_foc,7.075017522899342e-30,2.642155012071993e-29,,
D_logcosh_d2_k100_rho5,gauss_hermite_foc,4.8747621413177925e-31,1.6139683211539308e-31,,
D_logcosh_d2_k100_rho5,gauss_hermite_foc,1.077901695713705e-31,5.6343792241276335e-31,,
D_logcosh_d2_k10_rho0.1,gauss_hermite_foc,7.310067272772452e-10,1.6962614074415004e-10,,
D_logcosh_d2_k10_rho0.1,gauss_hermite_foc,7.310067273306905e-10,2.4696523618801136e-11,,
D_logcosh_d2_k10_rho0.1,gauss_hermite_foc,7.31006726943458e-10,4.500726144990553e-11,,
D_logcosh_d2_k10_rho0.1,gauss_hermite_foc,7.310067270885289e-10,1.3643784255335576e-10,,
D_logcosh_d2_k10_rho0.1,gauss_hermite_foc,7.310067272699626e-10,1.8466024983053413e-10,,
D_logcosh_d2_k10_rho1,gauss_hermite_foc,5.802203530258237e-22,5.953591418480443e-22,,
D_logcosh_d2_k10_rho1,gauss_hermite_foc,5.805439465447211e-22,9.98653442063068e-23,,
D_logcosh_d2_k10_rho1,gauss_hermite_foc,5.802794298388285e-22,8.542622287837883e-23,,
D_logcosh_d2_k10_rho1,gauss_hermite_foc,5.802267806274683e-22,6.815913512929981e-22,,
D_logcosh_d2_k10_rho1,gauss_hermite_foc,5.80223314440398e-22,7.657107685838189e-24,,
D_logcosh_d2_k10_rho5,gauss_hermite_foc,1.7365823937098745e-29,2.2312176467726045e-29,,
D_logcosh_d2_k10_rho5,gauss_hermite_foc,1.32633368526565e-31,2.803020068992123e-31,,
D_logcosh_d2_k10_rho5,gauss_hermite_foc,1.2386209861922667e-30,5.048433433278837e-30,,
D_logcosh_d2_k10_rho5,gauss_hermite_foc,3.685213488182213e-30,2.112069792427968e-29,,
D_logcosh_d2_k10_rho5,gauss_hermite_foc,1.962374828389508e-30,4.764588813912259e-30,,
D_logcosh_d2_k1_rho0.1,gauss_hermite_foc,8.073884743527796e-28,7.549458023638364e-28,,
D_logcosh_d2_k1_rho0.1,gauss_hermite_foc,1.1737446429486276e-27,1.3068279361651051e-27,,
D_logcosh_d2_k1_rho0.1,gauss_hermite_foc,1.2658732139788244e-27,1.5596058211885748e-27,,
D_logcosh_d2_k1_rho0.1,gauss_hermite_foc,1.2029712700065125e-27,1.2593691351850169e-27,,
D_logcosh_d2_k1_rho0.1,gauss_hermite_foc,1.103230858506785e-27,1.4049665988106059e-27,,
D_logcosh_d2_k1_rho1,gauss_hermite_foc,6.286603001151158e-30,1.240933830559086e-29,,
D_logcosh_d2_k1_rho1,gauss_hermite_foc,1.370062822765785e-31,2.058842147052492e-31,,
D_logcosh_d2_k1_rho1,gauss_hermite_foc,1.4743025636306828e-29,3.3435652751822725e-31,,
D_logcosh_d2_k1_rho1,gauss_hermite_foc,7.13490180811987e-32,2.682348290948115e-31,,
D_logcosh_d2_k1_rho1,gauss_hermite_foc,5.941786835718478e-32,4.168699539247048e-31,,
D_logcosh_d2_k1_rho5,gauss_hermite_foc,9.106446776688972e-32,4.020884885125449e-31,,
