experiment,job_id,method,kappa_star,certified_step,largest_stable_multiple,best_multiple,best_terminal_gap,oracle_pairs,wall_time_seconds
C,C_diao_gaussian_d10,FB--GVI,1.0,1.0000000000000004,1.0,1.0,21.310081388691025,500.0,0.2492029819986783
C,C_diao_gaussian_d10,FR--KL,1.0,1.0,2.0,1.0,5.7620582649737474e-18,500.0,0.2842168309725821
C,C_diao_gaussian_d10,FR--R,1.0,0.5,4.0,2.0,9.39498826430547e-18,500.0,0.2802043710253201
D,D_logcosh_d10_k100_rho0.1,FB--GVI,11.0,2.3393250373047323,2.0,1.0,0.0074995523790999,400.0,1.5346039140131325
D,D_logcosh_d10_k100_rho0.1,FR--KL,11.0,0.0909090909090908,16.0,0.5,0.0081738642641013,400.0,1.7733464479679242
D,D_logcosh_d10_k100_rho0.1,FR--R,11.0,0.0454545454545454,32.0,1.0,0.0083272234456401,400.0,1.699847168987617
D,D_logcosh_d10_k100_rho1,FB--GVI,101.0,0.851955272943059,4.0,1.0,0.0001057468712026,400.0,1.5262367239920422
D,D_logcosh_d10_k100_rho1,FR--KL,101.0,0.0099009900990099,128.0,8.0,1.234568003383174e-13,400.0,1.5714273530174978
D,D_logcosh_d10_k100_rho1,FR--R,101.0,0.00495049504950495,1024.0,16.0,1.5987211554602254e-13,400.0,1.6800745599903166
D,D_logcosh_d10_k100_rho5,FB--GVI,501.0,0.1914809902398001,2.0,1.0,2.713370705009765e-06,400.0,1.5180674250004813
D,D_logcosh_d10_k100_rho5,FR--KL,501.0,0.001996007984031936,512.0,256.0,-2.664535259100376e-15,400.0,1.569300053990446
D,D_logcosh_d10_k100_rho5,FR--R,501.0,0.000998003992015968,1024.0,512.0,-2.664535259100376e-15,400.0,1.67121528001735
D,D_logcosh_d10_k10_rho0.1,FB--GVI,2.0,1.340560936267826,2.0,1.0,0.00012430252902,400.0,1.637609361030627
D,D_logcosh_d10_k10_rho0.1,FR--KL,2.0,0.5,4.0,2.0,3.296769079952355e-08,400.0,1.6613389300182462
D,D_logcosh_d10_k10_rho0.1,FR--R,2.0,0.25,8.0,2.0,3.2967685470453034e-08,400.0,1.6569065499934368
D,D_logcosh_d10_k10_rho1,FB--GVI,11.0,0.8140076002573173,4.0,1.0,2.766889437388897e-05,400.0,1.545109114027582
D,D_logcosh_d10_k10_rho1,FR--KL,11.0,0.09090909090909091,16.0,8.0,-3.552713678800501e-15,400.0,1.7019953290000558
D,D_logcosh_d10_k10_rho1,FR--R,11.0,0.04545454545454545,32.0,4.0,-4.440892098500626e-15,400.0,1.6772784200147726
D,D_logcosh_d10_k10_rho5,FB--GVI,51.0,0.1898367277362146,2.0,1.0,7.916889401826666e-07,400.0,1.5193672149907798
D,D_logcosh_d10_k10_rho5,FR--KL,51.0,0.019607843137254905,64.0,16.0,-3.996802888650564e-15,400.0,1.6113811219693162
D,D_logcosh_d10_k10_rho5,FR--R,51.0,0.00980392156862745,2048.0,8.0,-4.884981308350689e-15,400.0,1.6616366499802098
D,D_logcosh_d10_k1_rho0.1,FB--GVI,1.1042932735676307,0.9090909090909096,2.0,1.0,7.758750708575236e-08,400.0,1.6680508099962026
D,D_logcosh_d10_k1_rho0.1,FR--KL,1.1042932735676307,0.9055565436610128,2.0,0.5,-3.552713678800501e-15,400.0,1.6943677199888043
D,D_logcosh_d10_k1_rho0.1,FR--R,1.1042932735676307,0.4527782718305064,4.0,0.5,-3.552713678800501e-15,400.0,1.7629709470202215
D,D_logcosh_d10_k1_rho1,FB--GVI,2.0320229749103684,0.5000000000000001,2.0,1.0,1.0647118573459124e-06,400.0,1.5404160040197894
D,D_logcosh_d10_k1_rho1,FR--KL,2.0320229749103684,0.4921204200676464,4.0,0.125,-2.664535259100376e-15,400.0,1.6407769909710623
D,D_logcosh_d10_k1_rho1,FR--R,2.0320229749103684,0.2460602100338234,256.0,2.0,-6.217248937900877e-15,400.0,1.665515750006307
D,D_logcosh_d10_k1_rho5,FB--GVI,6.03181678827307,0.1666666666666667,2.0,1.0,8.006655476533453e-05,400.0,1.522716503997799
D,D_logcosh_d10_k1_rho5,FR--KL,6.03181678827307,0.1657875288825381,8.0,1.0,-3.1086244689504387e-15,400.0,1.699703179998323
D,D_logcosh_d10_k1_rho5,FR--R,6.03181678827307,0.082893764441269,16.0,1.0,-3.1086244689504387e-15,400.0,1.68973168899538
D,D_logcosh_d2_k100_rho0.1,FB--GVI,11.000000000000002,0.921425687064808,32.0,1.0,0.0018978300056629,400.0,1.3873452590196391
D,D_logcosh_d2_k100_rho0.1,FR--KL,11.000000000000002,0.0909090909090908,16.0,0.25,-0.0004380052563863,400.0,1.529441824008245
D,D_logcosh_d2_k100_rho0.1,FR--R,11.000000000000002,0.0454545454545454,32.0,0.5,-0.000503711106035,400.0,1.516646585019771
D,D_logcosh_d2_k100_rho1,FB--GVI,101.0,0.9900945443593996,16.0,2.0,1.2012613126444194e-13,400.0,1.3575772200128997
D,D_logcosh_d2_k100_rho1,FR--KL,101.0,0.0099009900990099,128.0,8.0,3.8413716652030416e-14,400.0,1.475062255980447
D,D_logcosh_d2_k100_rho1,FR--R,101.0,0.00495049504950495,256.0,16.0,6.905587213168475e-14,400.0,1.4981412960332818
D,D_logcosh_d2_k100_rho5,FB--GVI,501.0,0.1949748458502196,2.0,1.0,4.231966099776941e-07,400.0,1.385488378989976
D,D_logcosh_d2_k100_rho5,FR--KL,501.0,0.0019960079840319364,512.0,256.0,-1.2212453270876722e-15,400.0,1.3973735389881767
D,D_logcosh_d2_k100_rho5,FR--R,501.0,0.0009980039920159682,2048.0,512.0,-1.7763568394002505e-15,400.0,1.4717034560162574
D,D_logcosh_d2_k10_rho0.1,FB--GVI,2.0,3.5730031175349377,4.0,2.0,3.120866631789454e-08,400.0,1.4706981069757603
D,D_logcosh_d2_k10_rho0.1,FR--KL,2.0,0.5,4.0,2.0,3.120866365335928e-08,400.0,1.4985571350553073
D,D_logcosh_d2_k10_rho0.1,FR--R,2.0,0.25,8.0,1.0,3.120866365335928e-08,400.0,1.4509919870179149
D,D_logcosh_d2_k10_rho1,FB--GVI,11.0,0.8217439058368616,8.0,1.0,3.011005755837459e-07,400.0,1.353660469991155
D,D_logcosh_d2_k10_rho1,FR--KL,11.0,0.0909090909090909,16.0,16.0,-9.992007221626407e-15,400.0,1.5210379950003698
D,D_logcosh_d2_k10_rho1,FR--R,11.0,0.04545454545454545,32.0,8.0,-1.6875389974302383e-14,400.0,1.4987885460141115
D,D_logcosh_d2_k10_rho5,FB--GVI,50.99999999999999,0.1670421763757469,4.0,1.0,0.0001870430176443,400.0,1.35980928898789
D,D_logcosh_d2_k10_rho5,FR--KL,50.99999999999999,0.0196078431372549,64.0,4.0,-4.6629367034256575e-15,400.0,1.4632330359891057
D,D_logcosh_d2_k10_rho5,FR--R,50.99999999999999,0.009803921568627453,256.0,64.0,-4.551914400963142e-15,400.0,1.4565130670089277
D,D_logcosh_d2_k1_rho0.1,FB--GVI,1.1000000000000003,0.9090909090909094,1.0,1.0,9.121230926112389e-08,400.0,1.490275965014007
D,D_logcosh_d2_k1_rho0.1,FR--KL,1.1000000000000003,0.9090909090908992,2.0,0.125,-2.220446049250313e-16,400.0,1.561331433011219
D,D_logcosh_d2_k1_rho0.1,FR--R,1.1000000000000003,0.4545454545454496,4.0,2.0,-6.661338147750939e-16,400.0,1.4780792260426097
D,D_logcosh_d2_k1_rho1,FB--GVI,2.0000000000000004,0.4999999999999995,2.0,1.0,2.7788952559726358e-05,400.0,1.4813373050419614
D,D_logcosh_d2_k1_rho1,FR--KL,2.0000000000000004,0.4999999999999984,2.0,0.25,-2.664535259100376e-15,400.0,1.5141446350025944
D,D_logcosh_d2_k1_rho1,FR--R,2.0000000000000004,0.2499999999999992,8.0,1.0,-1.7763568394002505e-15,400.0,1.4870570260100069
D,D_logcosh_d2_k1_rho5,FB--GVI,6.0,0.1666666666666666,2.0,1.0,2.7918566838480707e-05,400.0,1.363721609057393
D,D_logcosh_d2_k1_rho5,FR--KL,6.0,0.1666666666666666,8.0,2.0,-3.552713678800501e-15,400.0,1.500540574954357
D,D_logcosh_d2_k1_rho5,FR--R,6.0,0.0833333333333333,512.0,2.0,-4.773959005888173e-15,400.0,1.488973815983627
D,D_logcosh_d50_k100_rho0.1,FB--GVI,11.0,2.360753605114286,2.0,1.0,0.1042028733487541,400.0,2.1263482259819284
D,D_logcosh_d50_k100_rho0.1,FR--KL,11.0,0.0909090909090908,16.0,0.5,0.0240149578481236,400.0,2.268414761987515
D,D_logcosh_d50_k100_rho0.1,FR--R,11.0,0.0454545454545454,32.0,1.0,0.0243419427756634,400.0,2.500435486028437
D,D_logcosh_d50_k100_rho1,FB--GVI,101.0,0.7376103421685934,4.0,1.0,0.0008476949338955,400.0,2.196130184980575
D,D_logcosh_d50_k100_rho1,FR--KL,101.0,0.0099009900990099,128.0,8.0,5.613287612504791e-13,400.0,2.290043351997156
D,D_logcosh_d50_k100_rho1,FR--R,101.0,0.00495049504950495,256.0,16.0,6.963318810448982e-13,400.0,2.3980990779818967
D,D_logcosh_d50_k100_rho5,FB--GVI,500.9999999999999,0.1892993293300896,2.0,1.0,0.0003134104040256,400.0,2.1020990569959395
D,D_logcosh_d50_k100_rho5,FR--KL,500.9999999999999,0.0019960079840319342,512.0,32.0,-1.4210854715202004e-14,400.0,2.247900942980777
D,D_logcosh_d50_k100_rho5,FR--R,500.9999999999999,0.000998003992015968,32768.0,1024.0,-1.7763568394002505e-14,400.0,2.26068257301813
D,D_logcosh_d50_k10_rho0.1,FB--GVI,2.0,1.7439303861832829,2.0,1.0,0.0002788816548076,400.0,2.108703827019781
D,D_logcosh_d50_k10_rho0.1,FR--KL,2.0,0.5,4.0,1.0,7.831179971162784e-08,400.0,2.431679837987758
D,D_logcosh_d50_k10_rho0.1,FR--R,2.0,0.25,8.0,1.0,7.831179971162784e-08,400.0,2.4623788759927265
D,D_logcosh_d50_k10_rho1,FB--GVI,11.0,0.7384887862185707,2.0,1.0,0.0001150031531658,400.0,2.106350307003595
D,D_logcosh_d50_k10_rho1,FR--KL,11.0,0.0909090909090909,16.0,2.0,-2.8421709430404014e-14,400.0,2.2460734029882587
D,D_logcosh_d50_k10_rho1,FR--R,11.0,0.045454545454545456,32.0,32.0,-1.7763568394002505e-14,400.0,2.5114831249811687
D,D_logcosh_d50_k10_rho5,FB--GVI,50.99999999999999,0.1851960884350753,2.0,1.0,0.000155603614548,400.0,2.115215187019203
D,D_logcosh_d50_k10_rho5,FR--KL,50.99999999999999,0.0196078431372549,64.0,16.0,-2.131628207280301e-14,400.0,2.2325586730148643
D,D_logcosh_d50_k10_rho5,FR--R,50.99999999999999,0.00980392156862745,2048.0,32.0,-1.7763568394002505e-14,400.0,2.4547087069950067
D,D_logcosh_d50_k1_rho0.1,FB--GVI,1.10434707713966,0.9090909090909072,2.0,1.0,2.419791265140248e-07,400.0,2.093518658017274
D,D_logcosh_d50_k1_rho0.1,FR--KL,1.10434707713966,0.9055124251246124,2.0,1.0,-1.0658141036401504e-14,400.0,2.432527077035047
D,D_logcosh_d50_k1_rho0.1,FR--R,1.10434707713966,0.4527562125623062,4.0,4.0,-2.131628207280301e-14,400.0,2.456439236004371
D,D_logcosh_d50_k1_rho1,FB--GVI,2.032416666911569,0.5000000000000003,2.0,1.0,4.97504622032352e-06,400.0,2.110998436983209
D,D_logcosh_d50_k1_rho1,FR--KL,2.032416666911569,0.4920250932204701,4.0,1.0,-1.4210854715202004e-14,400.0,2.348254220036324
D,D_logcosh_d50_k1_rho1,FR--R,2.032416666911569,0.2460125466102348,32.0,0.25,-1.7763568394002505e-14,400.0,2.4649613660294563
