experiment,job_id,method,seed,iterations,objective_gap,w2_squared,wall_time_seconds,oracle_pairs
A,A_covariance_burnin_smoke,FR--KL,1582940024,100,3.0068170776149676,91.65832066404872,0.03810246899956837,100
A,A_covariance_burnin_smoke,FR--R,1582940024,100,2.4144637860355167,84.0827677463501,0.03565841895760968,100
B,B_affine_equivariance_smoke,FB--GVI,475586365,12,0.8139572261356737,917.119715615288,0.005599190015345812,12
B,B_affine_equivariance_smoke,FR--KL,475586365,12,0.028390053198146165,61.47233002830943,0.006962079962249845,12
B,B_affine_equivariance_smoke,FR--R,475586365,12,0.01887890112441082,46.28773480117172,0.006224800017662346,12
C,C_diao_gaussian_smoke,FB--GVI,2083531526,24,31.577007682816046,1110475760.7918603,0.011272840027231723,24
C,C_diao_gaussian_smoke,FR--KL,2083531526,24,13.683275414874608,1099228198.0598512,0.01259194000158459,24
C,C_diao_gaussian_smoke,FR--R,2083531526,24,8.718953536315958,1074760840.4535801,0.012130060000345111,24
D,D_logcosh_global_smoke,FB--GVI,4139269695,35,0.20555172137060473,0.8135510013296283,0.0542013089871034,35
D,D_logcosh_global_smoke,FR--KL,4139269695,35,0.0073164532095572055,0.033893385210063534,0.05705814796965569,35
D,D_logcosh_global_smoke,FR--R,4139269695,35,0.004268924614811431,0.020160095987831902,0.05569992802338675,35
F,F_gaussian_local_smoke,FB--GVI,2819508885,24,4.064026321467894e-12,4.064082403942848e-12,0.007823690015356988,24
F,F_gaussian_local_smoke,FR--KL,2819508885,24,4.924374730699236e-05,4.912835762560519e-05,0.00924128998303786,24
F,F_gaussian_local_smoke,FR--R,2819508885,24,3.4950387254892388e-06,3.4928597132388717e-06,0.00831076002214104,24
G,G_local_spectral_smoke,FR--KL,4219517623,28,1.3430375624956525e-06,1.7670111521555434e-06,0.04733414901420474,28
G,G_local_spectral_smoke,FR--R,4219517623,28,5.292713154414486e-07,9.399702868755407e-07,0.04591822897782549,28
H,H_stl_cancellation_smoke,FR--KL--STL,500109109,18,0.0003349362902625441,0.0011236533921360479,0.009912440029438585,18
H,H_stl_cancellation_smoke,FR--KL--STL,2964628020,18,0.0003349362902625441,0.0011236533921360117,0.00981831003446132,18
H,H_stl_cancellation_smoke,FR--R--STL,500109109,18,0.00033493629026276617,0.0011236533921399553,0.009513540018815547,18
H,H_stl_cancellation_smoke,FR--R--STL,2964628020,18,0.00033493629026276617,0.0011236533921401603,0.009369449981022626,18
H,H_stl_cancellation_smoke,S--FB--GVI,500109109,18,0.11707451147926345,1.0426499877900133,0.007951330044306815,18
H,H_stl_cancellation_smoke,S--FB--GVI,2964628020,18,0.12615752651240214,0.8119277790903127,0.008000880014151335,18
J,J_minibatch_floor_B1_smoke,FR--KL--STL,2563146674,70,0.004385733430602112,0.01936249535474983,0.10252894699806347,71
J,J_minibatch_floor_B1_smoke,FR--KL--STL,875108331,70,0.004749242209825866,0.019126726143108362,0.10274085699347779,71
J,J_minibatch_floor_B1_smoke,FR--R--STL,2563146674,70,0.0042090013976125995,0.018589064218206976,0.1008993269642815,71
J,J_minibatch_floor_B1_smoke,FR--R--STL,875108331,70,0.0048917162137693815,0.019392626180033352,0.1001477469690144,71
J,J_minibatch_floor_B1_smoke,S--FB--GVI,2563146674,70,0.06308835031763249,0.24234614877678076,0.0942957479855977,70
J,J_minibatch_floor_B1_smoke,S--FB--GVI,875108331,70,0.0655898465633531,0.22861857697310636,0.09456597699318081,70
J,J_minibatch_floor_B8_smoke,FR--KL--STL,2563146674,70,0.0020131015455715495,0.007904834387485373,0.10202972701517865,561
J,J_minibatch_floor_B8_smoke,FR--KL--STL,875108331,70,0.001878974729355054,0.007094304250765955,0.10174789698794484,561
J,J_minibatch_floor_B8_smoke,FR--R--STL,2563146674,70,0.0017966318366313683,0.00706454948904374,0.10136497701751068,561
J,J_minibatch_floor_B8_smoke,FR--R--STL,875108331,70,0.0016441681880015047,0.00620659598631422,0.09971313702408224,561
J,J_minibatch_floor_B8_smoke,S--FB--GVI,2563146674,70,0.05587454818547366,0.2100316102861709,0.0937731969752349,560
J,J_minibatch_floor_B8_smoke,S--FB--GVI,875108331,70,0.054589593594089214,0.20899708035182685,0.09537407802417874,560
K,K_decreasing_steps_smoke,FR--KL--STL,2750954248,100,9.22108067857863e-06,8.27765800884475e-06,0.14016628602985293,401
K,K_decreasing_steps_smoke,FR--KL--STL,3007370039,100,0.00011769284465024121,0.00016546610190981632,0.1409602360217832,401
K,K_decreasing_steps_smoke,FR--R--STL,2750954248,100,9.559191289421065e-06,8.565641679938553e-06,0.13659341499442235,401
K,K_decreasing_steps_smoke,FR--R--STL,3007370039,100,0.00011857356153877063,0.00016633725373564154,0.1367588160210289,401
L,L_logistic_smoke,FB--GVI,594425521,28,0.01588035111804942,0.02412225407719703,0.04565665900008753,28
L,L_logistic_smoke,FR--KL--STL,594425521,28,0.153887602134402,0.08824525337621075,0.04417120898142457,112
L,L_logistic_smoke,FR--KL,594425521,28,0.03466221810958281,0.0212188922655301,0.04714872897602618,28
L,L_logistic_smoke,FR--R--STL,594425521,28,0.1447378860392483,0.08572147787239362,0.042780378949828446,112
L,L_logistic_smoke,FR--R,594425521,28,0.030158391260435735,0.020189449698540217,0.04598796903155744,28
L,L_logistic_smoke,Laplace,594425521,0,0.02220561588384662,0.00802095559537434,0.00041199999395757914,0
L,L_logistic_smoke,S--FB--GVI,594425521,28,0.06320930237752975,0.0943429217204762,0.041048678976949304,112
